,mut_NB_f4,mut_NB_f5
g00767,1234,1121
g00768,672,498
g00769,6,8
g00770,6,8
g00771,117,40
g00772,318,301
g00773,2,2
g00774,11,7
g00775,1,1
g00776,3,2
g00777,741,543
g00778,3,0
g00779,1064,845
g00780,21,14
g00781,233,228
g00782,1,0
g00783,1352,1066
g00784,13,11
g00785,276,208
g00786,535,526
g00787,28,30
g00788,8,7
g00789,0,0
g00790,0,0
g00791,111,63
g00792,0,0
g00793,0,0
g00794,1,5
g00795,2159,1444
g00796,10149,5795
g00797,4232,2286
g00798,165,114
g00799,15,21
g00800,17,11
g00801,0,1
g00802,0,0
g00803,0,0
g00804,0,0
g00805,2,2
g00806,2097,1655
g00807,32,40
g00808,405,392
g00809,2486,1976
g00810,154,110
g00811,4182,3532
g00812,19,16
g00813,0,0
g00814,6,2
g00815,546,619
g00816,690,733
g00817,8,2
g00818,581,341
g00819,66,40
g00820,1345,1523
g00821,19,16
g00822,857,766
g00823,255,188
g00824,12,7
g00825,0,0
g00826,0,0
g00827,12,8
g00828,845,710
g00829,19,18
g00830,819,496
g00831,253,204
g00832,32,22
g00833,5,11
g00834,3,2
g00835,0,0
g00836,2,5
g00837,575,360
g00838,328,264
g00839,1307,1341
g00840,817,750
g00841,24,40
g00842,1,0
g00843,0,0
g00844,1,2
g00845,6,16
g00846,39,33
g00847,119,119
g00848,2011,1346
g00849,1810,1252
g00850,38,28
g00851,4741,4479
g00852,4,4
g00853,5,4
g00854,2,4
g00855,3,12
g00856,20,32
g00857,4475,2032
g00858,2,2
g00859,4559,1726
g00860,684,664
g00861,25,4
g00862,20,1
g00863,18,11
g00864,367,494
g00865,678,640
g00866,0,0
g00867,50,46
g00868,3902,2786
g00869,736,470
g00870,232,160
g00871,375,236
g00872,1,3
g00873,1,8
g00874,5476,5509
g00875,8,9
g00876,178,125
g00877,12,11
g00878,241,92
g00879,4,3
g00880,0,0
g00881,4,3
g00882,87,62
g00883,0,0
g00884,79,114
g00885,297,281
g00886,195,148
g00887,0,1
g00888,4,5
g00889,319,262
g00890,33,23
g00891,568,431
g00892,304,434
g00893,38,31
g00894,7583,7345
g00895,423,322
g00896,44112,39146
g00897,2,1
g00898,67,62
g00899,12,4
g00900,0,0
g00901,53,39
g00902,168,90
g00903,1019,815
g00904,0,0
g00905,3,1
g00906,4292,3944
g00907,18,11
g00908,174,156
g00909,56,30
g00910,0,0
g00911,41,45
g00912,0,1
g00913,0,0
g00914,0,2
g00915,3,2
g00916,9,5
g00917,0,0
g00918,0,0
g00919,94,52
g00920,0,0
g00921,900,677
g00922,0,0
g00923,0,1
g00924,28,21
g00925,0,0
g00926,780,981
g00927,0,0
g00928,0,0
g00929,610,429
g00930,165,112
g00931,0,0
g00932,0,0
g00933,0,0
g00934,0,0
g00935,0,0
g00936,5,8
g00937,1,5
g00938,0,0
g00939,0,0
g00940,176,174
g00941,77,57
g00942,297,249
g00943,650,498
g00944,291,228
g00945,204,111
g00946,26,10
g00947,0,0
g00948,35,4
g00949,0,0
g00950,4,1
g00951,0,2
g00952,0,0
g00953,0,0
g00954,0,0
g00955,246,298
g00956,0,0
g00957,4,1
g00958,9,0
g00959,0,0
g00960,1,0
g00961,0,0
g00962,302,189
g00963,1840,1513
g00964,23,18
g00965,49,103
g00966,15,16
g00967,0,0
g00968,2192,1804
g00969,180,108
g00970,87,59
g00971,361,210
g00972,0,0
g00973,29,60
g00974,816,588
g00975,513,546
g00976,9,10
g00977,3,2
g00978,15,25
g00979,0,0
g00980,1,0
g00981,1344,1081
g00982,702,579
g00983,18,12
g00984,1972,1544
g00985,14,56
g00986,603,276
g00987,481,304
g00988,0,1
g00989,7,13
g00990,1167,905
g00991,5224,6267
g00992,1,3
