,mut_NB_f4,mut_NB_f5
g13070,569,437
g13071,673,455
g13072,0,1
g13073,4,1
g13074,649,941
g13075,2,0
g13076,10,16
g13077,65,95
g13078,22,48
g13079,4,4
g13080,1,4
g13081,0,0
g13082,0,3
g13083,155,211
g13084,0,0
g13085,5,14
g13086,3,5
g13087,0,2
g13088,217,359
g13089,33,13
g13090,0,4
g13091,0,0
g13092,4,1
g13093,2,5
g13094,0,0
g13095,4,5
g13096,1,0
g13097,65,79
g13098,0,0
g13099,1,0
g13100,162,168
g13101,2,2
g13102,18,26
g13103,0,0
g13104,4,4
g13105,183,65
g13106,0,0
g13107,12,12
g13108,13,13
g13109,25,29
g13110,383,348
g13111,9,7
g13112,0,0
g13113,187,120
g13114,28,41
g13115,1084,872
g13116,97,85
g13117,2349,1899
g13118,1,3
g13119,1,6
g13120,0,0
g13121,0,0
g13122,2,3
g13123,871,732
g13124,917,882
g13125,77,49
g13126,231,178
g13127,9,11
g13128,996,997
g13129,250,185
g13130,245,129
g13131,54,26
g13132,92,99
g13133,24,37
g13134,2,2
g13135,2,0
g13136,1,2
g13137,1,12
g13138,1113,450
g13139,794,1109
g13140,1104,613
g13141,215,141
g13142,1540,1560
g13143,57,41
g13144,3,5
g13145,0,0
g13146,0,0
g13147,933,753
g13148,65,80
g13149,8186,8858
g13150,586,501
g13151,1,6
g13152,50,56
g13153,52,40
g13154,111,121
g13155,22,28
g13156,2,2
g13157,6,4
g13158,3,13
g13159,7,18
g13160,170,194
g13161,3,1
g13162,368,349
g13163,0,0
g13164,331,246
g13165,1,0
g13166,0,8
g13167,0,1
g13168,1,4
g13169,4,3
g13170,8,19
g13171,174,188
g13172,9,10
g13173,36,58
g13174,66,83
g13175,0,0
g13176,2,1
g13177,0,0
g13178,422,390
g13179,0,0
g13180,1,2
g13181,0,0
g13182,0,0
g13183,101,130
g13184,157,176
g13185,6,4
g13186,0,0
g13187,154,145
g13188,46,53
g13189,1,2
g13190,21,8
g13191,1,1
g13192,0,0
g13193,209,231
g13194,18,4
g13195,131,143
g13196,0,0
g13197,7,4
g13198,66,34
g13199,1535,1195
g13200,7,6
g13201,53,29
g13202,16,27
g13203,0,0
g13204,267,223
g13205,0,0
g13206,0,0
g13207,0,0
g13208,255,303
g13209,34,45
g13210,0,2
g13211,0,0
g13212,1,0
g13213,9323,8365
g13214,17,10
g13215,2,1
g13216,0,0
g13217,194,200
g13218,0,0
g13219,1,5
g13220,3755,3007
g13221,22,17
g13222,0,0
g13223,33,14
g13224,0,0
g13225,0,1
g13226,850,716
g13227,463,428
g13228,3,3
g13229,0,0
g13230,3,17
g13231,14,10
g13232,4,3
g13233,258,199
g13234,4031,3817
g13235,10,3
g13236,159,190
g13237,44,26
g13238,219,194
g13239,3684,3415
g13240,50,36
g13241,3,3
g13242,0,0
g13243,4,2
g13244,3,6
g13245,5,0
g13246,4,1
g13247,74,57
g13248,81,60
g13249,3,0
g13250,62,15
g13251,9,10
g13252,1,5
g13253,50,62
g13254,13,13
g13255,1304,1077
g13256,5887,5104
g13257,28,26
g13258,14,24
g13259,2,3
g13260,0,0
g13261,1,0
g13262,0,0
g13263,0,0
g13264,0,0
g13265,0,0
g13266,1865,1941
g13267,1,2
g13268,2,0
g13269,0,0
g13270,0,0
g13271,0,0
g13272,0,0
g13273,0,0
g13274,0,0
g13275,0,0
g13276,0,0
g13277,0,0
g13278,0,0
g13279,0,0
g13280,0,0
g13281,0,0
g13282,0,0
g13283,0,0
g13284,0,0
g13285,0,0
g13286,0,0
g13287,0,0
g13288,0,0
g13289,0,0
g13290,0,0
g13291,0,0
g13292,0,0
g13293,1,0
g13294,0,0
g13295,0,0
g13296,0,0
g13297,0,0
g13298,0,0
g13299,0,0
g13300,0,0
g13301,0,0
g13302,0,0
g13303,0,0
g13304,0,0
g13305,0,0
g13306,0,0
g13307,0,0
g13308,0,0
g13309,0,0
g13310,0,0
g13311,0,0
g13312,0,0
g13313,0,0
g13314,0,0
g13315,0,0
g13316,0,0
g13317,0,0
g13318,0,0
g13319,0,0
g13320,0,0
g13321,0,0
g13322,0,0
g13323,0,0
g13324,0,0
g13325,0,0
g13326,0,0
g13327,0,0
g13328,0,0
g13329,0,1
g13330,0,0
g13331,0,0
g13332,0,0
g13333,0,0
g13334,0,0
g13335,0,0
g13336,0,0
g13337,0,0
g13338,0,0
g13339,0,0
g13340,0,0
g13341,0,0
g13342,0,0
g13343,0,0
g13344,0,0
g13345,0,0
g13346,0,0
g13347,0,0
g13348,0,0
g13349,0,0
g13350,0,0
g13351,0,0
g13352,0,0
g13353,0,0
g13354,0,0
g13355,0,0
g13356,0,0
g13357,0,0
g13358,0,0
g13359,0,0
g13360,0,0
g13361,0,0
g13362,0,0
g13363,0,0
g13364,0,0
g13365,0,0
g13366,0,0
g13367,0,0
g13368,0,0
g13369,0,0
g13370,0,0
g13371,0,0
g13372,0,0
g13373,0,0
g13374,0,0
g13375,0,0
g13376,0,0
g13377,0,0
g13378,0,0
g13379,0,0
g13380,0,0
g13381,0,0
g13382,0,0
g13383,0,0
g13384,0,0
g13385,0,0
g13386,0,0
g13387,0,0
g13388,0,0
g13389,0,0
g13390,0,0
g13391,0,0
g13392,0,0
g13393,0,0
g13394,0,0
g13395,0,0
g13396,0,0
g13397,0,0
g13398,1,0
g13399,0,0
g13400,0,0
g13401,0,0
g13402,0,0
g13403,0,0
g13404,0,0
g13405,0,0
g13406,0,0
g13407,0,0
g13408,0,0
g13409,0,0
g13410,0,0
g13411,0,0
g13412,0,0
g13413,0,0
g13414,0,0
g13415,0,0
g13416,0,0
g13417,0,0
g13418,0,0
g13419,0,0
g13420,0,0
g13421,0,0
g13422,0,0
g13423,0,0
g13424,0,0
g13425,0,0
g13426,0,0
g13427,0,0
g13428,0,0
g13429,0,0
g13430,0,0
g13431,0,0
g13432,0,0
g13433,0,0
g13434,0,0
g13435,0,0
g13436,0,0
g13437,0,0
g13438,0,0
g13439,0,0
g13440,0,0
g13441,0,0
g13442,0,0
g13443,0,0
g13444,0,0
g13445,0,0
g13446,0,0
g13447,0,0
g13448,0,0
g13449,0,0
g13450,0,0
g13451,0,0
g13452,0,0
g13453,0,0
g13454,0,0
g13455,0,0
g13456,0,0
g13457,0,0
g13458,0,0
g13459,0,0
g13460,0,0
g13461,0,0
g13462,0,0
g13463,0,0
g13464,0,0
g13465,0,0
g13466,0,0
g13467,0,0
g13468,0,0
g13469,0,0
g13470,0,0
g13471,0,0
g13472,0,0
g13473,0,0
g13474,0,0
g13475,0,0
g13476,0,0
g13477,0,0
g13478,0,0
g13479,0,0
g13480,0,0
g13481,0,0
g13482,0,0
g13483,0,0
g13484,0,0
g13485,0,0
g13486,0,0
g13487,0,0
g13488,0,0
g13489,0,0
g13490,81,27
g13491,231,192
g13492,1268,943
g13493,2,3
g13494,825,685
g13495,187,109
g13496,346,244
g13497,510,294
g13498,257,232
g13499,564,422
g13500,1,2
g13501,5,3
g13502,1631,1298
g13503,42,27
g13504,1,2
g13505,18,34
g13506,8,4
g13507,910,720
g13508,1,3
g13509,144,84
g13510,91,51
g13511,4,4
g13512,3,0
g13513,805,469
g13514,884,723
g13515,79,95
g13516,3700,1980
g13517,2,0
g13518,1922,1323
g13519,0,5
g13520,8,7
g13521,327,272
g13522,423,388
g13523,1635,1421
g13524,1285,1253
g13525,134,96
g13526,1549,1165
g13527,49,15
g13528,21,43
g13529,443,276
g13530,261,307
g13531,579,393
g13532,3,0
g13533,88,39
g13534,476,315
g13535,16,14
g13536,68,58
g13537,1882,1172
g13538,231,138
g13539,96,104
g13540,0,0
g13541,2,6
g13542,25,35
g13543,120,55
g13544,132,60
g13545,33,19
g13546,8,2
g13547,206,207
g13548,3,4
g13549,15,34
g13550,273,263
g13551,10,14
g13552,1,0
g13553,2,5
g13554,23,11
g13555,188,178
g13556,2120,1729
g13557,0,0
g13558,0,1
g13559,0,0
g13560,329,299
g13561,1,7
g13562,911,593
g13563,1,4
g13564,20,39
g13565,0,0
g13566,6,4
g13567,3478,2101
g13568,23,20
g13569,182,201
g13570,456,463
g13571,20,9
g13572,48,36
g13573,564,398
g13574,39,54
g13575,3,1
g13576,2,4
g13577,1988,2290
g13578,62,60
g13579,8,9
g13580,1296,571
g13581,0,0
g13582,45,62
g13583,3335,3205
g13584,529,510
g13585,1104,773
g13586,320,335
g13587,1271,939
g13588,0,0
g13589,7,7
g13590,53,51
g13591,448,477
g13592,1,0
g13593,0,0
g13594,36,14
g13595,3,2
g13596,12,10
g13597,2827,2581
g13598,16,19
g13599,0,0
g13600,7,3
g13601,190,105
g13602,30,18
g13603,1,0
g13604,7,10
g13605,650,548
g13606,1032,1035
g13607,16,20
g13608,399,332
g13609,0,0
g13610,0,0
g13611,2,5
g13612,2096,1796
g13613,641,559
g13614,0,0
g13615,7,3
g13616,0,0
g13617,108,88
g13618,32,25
g13619,59,44
g13620,0,0
g13621,0,1
g13622,19,50
g13623,4,5
g13624,4,16
g13625,151,120
g13626,0,0
g13627,6,6
g13628,29,17
g13629,35,24
g13630,1,1
g13631,1223,1074
g13632,16,6
g13633,340,287
g13634,40,34
g13635,4,0
g13636,606,365
g13637,12,6
g13638,1,0
g13639,17,25
g13640,536,584
g13641,0,0
g13642,0,0
g13643,0,0
g13644,0,0
g13645,0,0
g13646,0,0
g13647,0,0
g13648,0,0
g13649,0,0
g13650,0,0
g13651,0,0
g13652,0,0
g13653,0,0
g13654,0,0
g13655,0,0
g13656,0,0
g13657,0,0
g13658,0,0
g13659,0,0
g13660,0,0
g13661,0,0
g13662,0,0
g13663,0,0
g13664,0,0
g13665,0,0
g13666,0,0
g13667,0,0
g13668,0,0
g13669,0,0
g13670,0,0
g13671,0,0
g13672,0,0
g13673,0,0
g13674,0,0
g13675,0,0
g13676,0,0
g13677,0,0
g13678,0,0
g13679,0,0
g13680,0,0
g13681,1,0
g13682,0,0
g13683,19,21
g13684,0,0
g13685,216,210
g13686,532,462
g13687,275,284
g13688,261,269
g13689,269,323
g13690,22,33
g13691,103,99
g13692,2,4
g13693,10,13
g13694,0,0
g13695,691,542
g13696,23,10
g13697,0,5
g13698,4,0
g13699,8,4
g13700,87,66
g13701,1,0
g13702,0,2
g13703,0,0
g13704,132,120
g13705,0,0
g13706,646,493
g13707,54,33
g13708,119,125
g13709,0,0
g13710,1,0
g13711,35,25
g13712,0,2
g13713,111,100
g13714,34,17
g13715,2,3
g13716,5,2
g13717,0,0
g13718,0,0
g13719,0,0
g13720,157,118
g13721,1,3
g13722,52,43
g13723,1027,658
g13724,0,0
g13725,2,0
g13726,518,492
g13727,0,0
g13728,0,0
g13729,0,0
g13730,114,67
g13731,206,196
g13732,142,129
g13733,100,75
g13734,1451,1348
g13735,5,4
g13736,10,11
g13737,371,280
g13738,2323,1740
g13739,0,1
g13740,0,0
g13741,59,25
g13742,546,525
g13743,583,547
g13744,43,45
g13745,82,49
g13746,170,149
g13747,79,63
g13748,12,12
g13749,321,256
g13750,17,24
g13751,127,113
g13752,2000,1573
g13753,150,117
g13754,1,2
g13755,1495,1230
g13756,674,698
g13757,37,31
g13758,317,278
g13759,2,1
g13760,7,10
g13761,0,0
g13762,145,167
g13763,502,453
g13764,3,1
g13765,2542,1662
g13766,677,411
g13767,221,193
g13768,23,24
g13769,68,67
g13770,77,65
g13771,0,0
g13772,533,455
g13773,44,25
g13774,1,0
g13775,316,288
g13776,2066,1859
g13777,1095,1043
g13778,458,181
g13779,118,83
g13780,1233,759
g13781,172,93
g13782,1243,912
g13783,1028,825
g13784,139,95
g13785,6909,4037
g13786,767,506
g13787,711,638
g13788,118,95
g13789,12,4
g13790,10,8
g13791,975,878
g13792,163,171
g13793,98,101
g13794,105,113
g13795,54,35
g13796,80,67
g13797,6,14
g13798,314,236
g13799,545,346
g13800,269,244
g13801,18,5
g13802,1037,889
g13803,9,1
g13804,85,97
g13805,92,51
g13806,328,216
g13807,237,168
g13808,821,630
g13809,20,23
g13810,665,554
g13811,1283,1787
g13812,15,2
g13813,41,46
g13814,1343,1455
g13815,184,154
g13816,242,203
g13817,177,141
g13818,491,605
g13819,30,31
g13820,136,88
g13821,43,28
g13822,4,5
g13823,43,36
g13824,1,0
g13825,166,125
g13826,54,52
g13827,701,535
g13828,1,0
g13829,1107,880
g13830,1,1
g13831,0,0
g13832,6,1
g13833,72,54
g13834,4,1
g13835,0,3
g13836,227,102
g13837,519,346
g13838,37,16
g13839,2,2
g13840,0,0
g13841,0,0
g13842,12,19
g13843,102,62
g13844,1,0
g13845,0,0
g13846,2351,1637
g13847,126,112
g13848,3,5
g13849,0,0
g13850,0,0
g13851,54,53
g13852,63,31
g13853,76,46
g13854,0,0
g13855,1,0
g13856,1,2
g13857,0,0
g13858,18,27
g13859,118,162
g13860,158,112
g13861,10,12
g13862,348,272
g13863,714,608
g13864,885,726
g13865,126,85
g13866,1,0
g13867,0,0
g13868,35,24
g13869,15,8
g13870,1,0
g13871,47,56
g13872,220,175
g13873,1175,929
g13874,1,9
g13875,1055,646
g13876,902,789
g13877,350,248
g13878,61,34
g13879,41,26
g13880,243,181
g13881,3,2
g13882,2284,1586
g13883,267,170
g13884,2065,1524
g13885,2695,1911
g13886,6,4
g13887,0,0
g13888,1,0
g13889,42,25
g13890,74,72
g13891,16,8
g13892,4774,4079
g13893,58,53
g13894,63,52
g13895,7,6
g13896,28,20
g13897,16,8
g13898,1404,1264
g13899,42,30
g13900,80,98
g13901,25,18
g13902,6,2
g13903,0,0
g13904,74,52
g13905,37,34
g13906,0,0
g13907,0,0
g13908,1042,756
g13909,37,29
g13910,498,390
g13911,0,0
g13912,14,12
g13913,176,129
g13914,10,19
g13915,3,1
g13916,201,135
g13917,336,287
g13918,115,132
g13919,0,0
g13920,246,235
g13921,0,0
g13922,236,265
g13923,93,86
g13924,403,363
g13925,6,7
g13926,3,9
g13927,0,0
g13928,0,0
g13929,515,482
g13930,0,1
g13931,105,97
g13932,477,480
g13933,2896,5963
g13934,0,0
g13935,2,0
g13936,507,546
g13937,2,2
g13938,338,337
g13939,0,0
g13940,0,2
g13941,442,424
g13942,5,7
g13943,25,23
g13944,9,2
g13945,8,3
g13946,100,70
g13947,562,439
g13948,1883,1763
g13949,314,266
g13950,341,266
g13951,0,0
g13952,0,0
g13953,137,109
g13954,168,127
g13955,53,13
g13956,363,269
g13957,65,27
g13958,19,10
g13959,123,73
g13960,68,56
g13961,4,6
g13962,12,10
g13963,846,650
g13964,11,18
g13965,3,10
g13966,7,7
g13967,18,19
g13968,190,209
g13969,66,51
g13970,728,804
g13971,92,30
g13972,29,21
g13973,261,153
g13974,242,205
g13975,0,1
g13976,135,87
g13977,700,1015
g13978,2,2
g13979,0,2
g13980,18,8
g13981,2406,1756
g13982,49,99
g13983,43,32
g13984,7,10
g13985,86,72
g13986,30,27
g13987,167,138
g13988,234,171
g13989,1,2
g13990,0,0
g13991,0,2
g13992,0,0
g13993,3165,2861
g13994,0,0
g13995,49,27
g13996,4,3
g13997,188,197
g13998,49,22
g13999,125,110
g14000,0,0
g14001,173,105
g14002,618,443
g14003,0,0
g14004,3,0
g14005,196,157
g14006,4,14
g14007,3,1
g14008,0,0
g14009,10,8
g14010,0,1
g14011,0,2
g14012,0,0
g14013,0,0
g14014,2,1
g14015,96,70
g14016,80,61
g14017,775,942
g14018,837,851
g14019,0,0
g14020,2307,1754
g14021,6,16
g14022,60,46
g14023,246,222
g14024,44,22
g14025,0,0
g14026,18,15
g14027,316,377
g14028,0,0
g14029,19,20
g14030,833,623
g14031,120,70
g14032,0,0
g14033,6,2
g14034,24,8
g14035,3,0
g14036,28,24
g14037,0,0
g14038,6088,4783
g14039,964,894
g14040,0,0
g14041,0,0
g14042,874,864
g14043,63,39
g14044,17,18
g14045,9,13
g14046,17,14
g14047,170,147
g14048,0,2
g14049,0,0
g14050,4,4
g14051,210,158
g14052,65,36
g14053,565,381
g14054,10,9
g14055,87,102
g14056,0,0
g14057,63,23
g14058,3,3
g14059,20,24
g14060,2311,1996
g14061,148,138
g14062,407,293
g14063,0,0
g14064,0,0
g14065,3,3
g14066,808,685
g14067,10,4
g14068,0,0
g14069,79,71
g14070,720,561
g14071,1,2
g14072,1,0
g14073,1,0
g14074,0,0
g14075,4,3
g14076,0,0
g14077,0,1
g14078,35,35
g14079,682,918
g14080,35,41
g14081,208,136
g14082,319,238
g14083,24,19
g14084,0,0
g14085,0,0
g14086,0,0
g14087,0,0
g14088,0,0
g14089,0,0
g14090,0,0
g14091,0,0
g14092,1472,1281
g14093,3638,3176
g14094,0,0
g14095,0,0
g14096,0,0
g14097,4,3
g14098,336,254
g14099,0,0
g14100,11,4
g14101,0,0
g14102,0,0
g14103,2,1
g14104,16,5
g14105,0,0
g14106,1,1
g14107,254,238
g14108,3,2
g14109,13,17
g14110,0,0
g14111,0,0
g14112,159,140
g14113,279,252
g14114,1423,1414
g14115,21,15
g14116,93,65
g14117,0,1
g14118,0,0
g14119,0,0
g14120,0,0
g14121,0,0
g14122,0,0
g14123,0,0
g14124,1,0
g14125,540,468
g14126,152,168
g14127,4806,2649
g14128,150,239
g14129,0,0
g14130,0,0
g14131,2,0
g14132,190,209
g14133,0,0
g14134,2,1
g14135,15,15
g14136,2,2
g14137,2167,1793
g14138,376,351
g14139,1,0
g14140,991,739
g14141,1,0
g14142,1503,1069
g14143,668,529
g14144,1008,922
g14145,374,428
g14146,1,0
g14147,0,0
g14148,56,41
g14149,93,80
g14150,0,1
g14151,0,0
g14152,0,0
g14153,0,0
g14154,1,0
g14155,0,0
g14156,0,0
g14157,0,0
g14158,0,0
g14159,0,0
g14160,0,0
g14161,0,0
g14162,1,2
g14163,1145,758
g14164,89,60
g14165,225,423
g14166,9,6
g14167,613,600
g14168,89,69
g14169,1,1
g14170,0,0
g14171,0,0
g14172,8,4
g14173,179,158
g14174,1,1
g14175,13,12
g14176,20,12
g14177,835,903
g14178,1,0
g14179,42,33
g14180,2106,2063
g14181,267,246
g14182,332,216
g14183,24,9
g14184,595,574
g14185,25,11
g14186,244,174
g14187,23,7
g14188,1253,940
g14189,10,11
g14190,0,0
g14191,0,0
g14192,0,0
g14193,0,0
g14194,0,0
g14195,0,1
g14196,0,0
g14197,0,0
g14198,0,0
g14199,0,0
g14200,0,0
g14201,2,1
g14202,0,1
g14203,1,0
g14204,75,104
g14205,33,30
g14206,344,273
g14207,12,8
g14208,6,6
g14209,6,2
g14210,31,10
g14211,1675,1376
g14212,163,111
g14213,20,10
g14214,3136,2259
g14215,0,3
g14216,825,640
g14217,591,454
g14218,4,5
g14219,36,25
g14220,209,130
g14221,2212,1423
g14222,1251,1041
g14223,1107,694
g14224,275,220
g14225,1,2
g14226,776,635
g14227,785,808
g14228,8,27
g14229,74,76
g14230,4,5
g14231,57,64
g14232,23,23
g14233,0,0
g14234,1515,1300
g14235,222,201
g14236,2,3
g14237,24,18
g14238,67,46
g14239,2512,2093
g14240,357,210
g14241,111,99
g14242,0,0
g14243,263,122
g14244,4,6
g14245,536,493
g14246,7,9
g14247,1,2
g14248,471,367
g14249,408,374
g14250,548,401
g14251,414,479
g14252,2564,2013
g14253,147,106
g14254,412,391
g14255,60,39
g14256,328,288
g14257,221,242
g14258,390,287
g14259,0,0
g14260,802,954
g14261,4,3
g14262,17,22
g14263,0,1
g14264,47,39
g14265,31,21
g14266,19,18
g14267,548,479
g14268,277,223
g14269,258,175
g14270,11,8
g14271,278,104
g14272,3,2
g14273,336,349
g14274,0,0
g14275,95,68
g14276,1,0
g14277,35,33
g14278,1179,1214
g14279,254,268
g14280,3,1
g14281,168,146
g14282,275,193
g14283,0,0
g14284,387,331
g14285,120,135
g14286,214,134
g14287,4,0
g14288,435,294
g14289,351,326
g14290,8,7
g14291,8,17
g14292,2,3
g14293,0,0
g14294,0,0
g14295,3,0
g14296,291,264
g14297,34,58
g14298,3374,2607
g14299,3,3
g14300,2425,1976
g14301,4,1
g14302,1,0
g14303,125,95
g14304,1,3
g14305,11,11
g14306,1483,762
g14307,206,186
g14308,1,1
g14309,0,0
g14310,74,67
g14311,5050,3767
g14312,1095,981
g14313,56,43
g14314,2153,1421
g14315,592,398
g14316,2073,1274
g14317,41,49
g14318,54,65
g14319,857,825
g14320,1,0
g14321,5,9
g14322,0,0
g14323,0,0
g14324,4,1
g14325,1803,1833
g14326,181,140
g14327,5,0
g14328,1,5
g14329,173,170
g14330,9,3
g14331,27,12
g14332,0,0
g14333,1,0
g14334,1,1
g14335,18,7
g14336,292,171
g14337,2,1
g14338,268,298
g14339,5,10
g14340,0,0
g14341,0,0
g14342,1,0
g14343,4189,2258
g14344,5096,3685
g14345,406,261
g14346,241,190
g14347,118,133
g14348,16,6
g14349,11,5
g14350,0,0
g14351,0,0
g14352,1,0
g14353,1060,1196
g14354,31,8
g14355,288,167
g14356,2491,1786
g14357,10,20
g14358,2823,2675
g14359,18,29
g14360,0,1
g14361,1,2
g14362,0,0
g14363,0,0
g14364,0,0
g14365,0,0
g14366,0,0
g14367,0,0
g14368,169,21
g14369,6,1
g14370,6,1
g14371,3369,3566
g14372,283,302
g14373,7,1
g14374,35,39
g14375,670,672
g14376,2,5
g14377,0,0
g14378,0,0
g14379,0,0
g14380,0,1
g14381,0,0
g14382,0,0
g14383,0,0
g14384,0,0
g14385,0,0
g14386,0,0
g14387,0,0
g14388,0,0
g14389,2,0
g14390,178,142
g14391,74,55
g14392,71,37
g14393,574,436
g14394,225,196
g14395,26,33
g14396,645,363
g14397,7,3
g14398,55,43
g14399,7439,5035
g14400,289,203
g14401,471,394
g14402,779,716
g14403,28,20
g14404,4,3
g14405,5,5
g14406,205,158
g14407,0,0
g14408,0,0
g14409,2,1
g14410,0,0
g14411,205,238
g14412,240,179
g14413,2,0
g14414,36,25
g14415,11,11
g14416,11,13
g14417,53,49
g14418,1,3
g14419,11,13
g14420,809,738
g14421,1256,991
g14422,387,386
g14423,0,0
g14424,0,0
g14425,449,281
g14426,36,52
g14427,1426,1012
g14428,449,402
g14429,520,453
g14430,740,610
g14431,350,256
g14432,168,156
g14433,1,4
g14434,3,2
g14435,1,11
g14436,22,16
g14437,83,76
g14438,281,232
g14439,299,215
g14440,7,6
g14441,84,106
g14442,857,469
g14443,3477,3034
g14444,32,24
g14445,1143,816
g14446,1106,587
g14447,262,240
g14448,0,5
g14449,975,859
g14450,350,275
g14451,107,113
g14452,0,2
g14453,279,165
g14454,3,2
g14455,1111,1085
g14456,2,0
g14457,64,70
g14458,206,171
g14459,0,0
g14460,0,0
g14461,75,49
g14462,1,0
g14463,1,1
g14464,851,1028
g14465,1,1
g14466,5,1
g14467,0,0
g14468,0,1
g14469,42,32
g14470,6,9
g14471,0,0
g14472,1,1
g14473,0,0
g14474,0,0
g14475,0,0
g14476,745,459
g14477,61,51
g14478,270,193
g14479,23,22
g14480,1656,1254
g14481,106,83
g14482,20,12
g14483,823,697
g14484,692,514
g14485,53,8
g14486,211,165
g14487,49,33
g14488,20,13
g14489,0,0
g14490,0,0
g14491,0,0
g14492,1,0
g14493,3,0
g14494,2,1
g14495,103,64
g14496,0,0
g14497,0,0
g14498,75,64
g14499,815,826
g14500,3,1
g14501,371,331
g14502,387,295
g14503,94,39
g14504,1,2
g14505,40,30
g14506,0,0
g14507,1,0
g14508,58,46
g14509,2152,2942
g14510,134,103
g14511,71,58
g14512,0,0
g14513,218,209
g14514,1181,1086
g14515,1,2
g14516,4,7
g14517,0,1
g14518,2,1
g14519,7,2
g14520,2,0
g14521,0,0
g14522,0,0
g14523,0,0
g14524,0,0
g14525,0,0
g14526,0,0
g14527,0,0
g14528,0,0
g14529,0,0
g14530,0,0
g14531,0,0
g14532,0,0
g14533,0,0
g14534,0,0
g14535,1,0
g14536,0,0
g14537,0,0
g14538,0,0
g14539,0,0
g14540,0,0
g14541,10,3
g14542,12,4
g14543,0,0
g14544,0,0
g14545,1,1
g14546,10,8
g14547,5,3
g14548,0,0
g14549,3,2
g14550,30,11
g14551,0,0
g14552,18,11
g14553,57,15
g14554,10,6
g14555,2,2
g14556,1,1
g14557,20,11
g14558,21,18
g14559,1,0
g14560,0,0
g14561,30,17
g14562,444,376
g14563,37,32
g14564,370,293
g14565,962,721
g14566,134,82
g14567,64,53
g14568,0,1
g14569,1090,843
g14570,220,196
g14571,1675,523
g14572,1077,835
g14573,16,11
g14574,141,55
g14575,88,19
g14576,2,0
g14577,2,0
g14578,1,0
g14579,4,1
g14580,0,0
g14581,0,0
g14582,58,36
g14583,0,0
g14584,136,109
g14585,143,140
g14586,23,7
g14587,6,1
g14588,1214,979
g14589,1307,1174
g14590,20,4
g14591,0,0
g14592,0,0
g14593,72,72
g14594,0,0
g14595,351,322
g14596,0,0
g14597,1,0
g14598,529,390
g14599,74,39
g14600,0,2
g14601,44,29
g14602,2,1
g14603,182,143
g14604,1225,930
g14605,72,46
g14606,13,9
g14607,78,29
g14608,430,400
g14609,1,0
g14610,2,1
g14611,174,145
g14612,166,114
g14613,352,248
g14614,171,159
g14615,47,45
g14616,6,5
g14617,10,16
g14618,1085,880
g14619,1413,1202
g14620,194,172
g14621,57,59
g14622,670,404
g14623,431,320
g14624,886,601
g14625,13,16
g14626,22,13
g14627,40,31
g14628,2,1
g14629,7,6
g14630,4,3
g14631,442,391
g14632,276,227
g14633,0,0
g14634,0,0
g14635,0,0
g14636,0,0
g14637,0,0
g14638,23,51
g14639,161,126
g14640,0,0
g14641,15,16
g14642,54,51
g14643,0,0
g14644,0,0
g14645,0,0
g14646,0,0
g14647,0,0
g14648,4,8
g14649,0,4
g14650,58,74
g14651,6,3
g14652,701,679
g14653,1,2
g14654,25,26
g14655,26,15
g14656,774,753
g14657,72,70
g14658,3513,7611
g14659,4127,8460
g14660,0,7
g14661,3,2
g14662,1,1
g14663,67,206
g14664,0,3
g14665,54,65
g14666,1,2
g14667,79,60
g14668,988,744
g14669,178,128
g14670,0,0
g14671,1,1
g14672,0,1
g14673,0,0
g14674,0,0
g14675,116,65
g14676,81,56
g14677,37,25
g14678,2269,2032
g14679,0,0
g14680,13,19
g14681,10,11
g14682,13,6
g14683,0,0
g14684,0,0
g14685,1,0
g14686,0,0
g14687,0,0
g14688,0,0
g14689,509,462
g14690,0,1
g14691,3,0
g14692,0,0
g14693,0,0
g14694,0,1
g14695,2,1
g14696,0,0
g14697,0,0
g14698,145,116
g14699,527,436
g14700,388,326
g14701,0,0
g14702,2,5
g14703,1,0
g14704,0,0
g14705,47,37
g14706,0,0
g14707,0,0
g14708,3,3
g14709,63,50
g14710,203,147
g14711,13,31
g14712,70,47
g14713,0,3
g14714,0,0
g14715,499,616
g14716,1,0
g14717,18,17
g14718,0,5
g14719,0,1
g14720,49,63
g14721,1,0
g14722,17,8
g14723,3,2
g14724,4,2
g14725,2,1
g14726,132,137
g14727,2,1
g14728,0,0
g14729,805,702
g14730,388,292
g14731,0,0
g14732,7,12
g14733,70,61
g14734,0,0
g14735,1,1
g14736,0,0
g14737,1,2
g14738,0,0
g14739,1,1
g14740,352,274
g14741,1,1
g14742,0,0
g14743,5,3
g14744,0,0
g14745,2661,2006
g14746,546,487
g14747,812,677
g14748,1813,1495
g14749,119,112
g14750,1624,1332
g14751,6,3
g14752,3,2
g14753,0,0
g14754,535,851
g14755,72,102
g14756,841,863
g14757,5,2
g14758,71,32
g14759,572,469
g14760,11,25
g14761,228,229
g14762,16,30
g14763,333,265
g14764,10,2
g14765,25,25
g14766,3,0
g14767,8,2
g14768,888,727
g14769,76,55
g14770,177,178
g14771,118,87
g14772,1,0
g14773,1,0
g14774,3,3
g14775,0,0
g14776,2,0
g14777,1,1
g14778,2245,1412
g14779,268,266
g14780,116,114
g14781,9,8
g14782,3,1
g14783,2562,2703
g14784,248,135
g14785,0,0
g14786,1050,1342
g14787,348,505
g14788,3,2
