,het_E17.5_f5,het_E17.5_f4
g00828,203,249
g00829,173,218
g00830,718,742
g00831,635,493
g00832,32,45
g00833,13,11
g00834,20,18
g00835,0,2
g00836,60,51
g00837,878,817
g00838,481,465
g00839,1297,1205
g00840,209,290
g00841,9,12
g00842,2,0
g00843,0,0
g00844,1,2
g00845,10,5
g00846,268,244
g00847,317,290
g00848,2232,2117
g00849,1541,1509
g00850,12,10
g00851,2240,2542
g00852,7,3
g00853,255,177
g00854,39,16
g00855,102,70
g00856,8,15
g00857,685,651
g00858,2,3
g00859,72,107
g00860,111,73
g00861,478,370
g00862,224,168
g00863,1034,826
g00864,473,439
g00865,822,668
g00866,1,0
g00867,382,288
g00868,2232,1983
g00869,393,391
g00870,291,302
g00871,361,288
g00872,1,2
g00873,1,1
g00874,2111,2277
g00875,9,8
g00876,599,536
g00877,68,57
g00878,391,390
g00879,36,25
g00880,2,5
g00881,83,46
g00882,264,224
g00883,2,4
g00884,32,23
g00885,652,540
g00886,252,224
g00887,57,44
g00888,169,137
g00889,1665,1336
g00890,537,460
g00891,1677,1387
g00892,462,477
g00893,1802,1284
g00894,1543,1550
g00895,1139,622
g00896,7205,8912
g00897,5,2
g00898,483,416
g00899,796,684
g00900,0,2
g00901,276,244
g00902,28,18
g00903,163,137
g00904,0,1
g00905,0,0
g00906,2796,2647
g00907,32,16
g00908,212,194
g00909,472,357
g00910,0,2
g00911,471,419
g00912,2,2
g00913,1,0
g00914,0,0
g00915,55,43
g00916,96,82
g00917,1,0
g00918,2,1
g00919,272,202
g00920,0,0
g00921,626,591
g00922,0,1
g00923,1,1
g00924,55,58
g00925,0,1
g00926,501,466
g00927,1,3
g00928,0,0
g00929,754,692
g00930,1763,1379
g00931,0,0
g00932,0,0
g00933,0,0
g00934,0,0
g00935,0,0
g00936,126,92
g00937,40,36
g00938,1,1
g00939,0,0
g00940,149,145
g00941,129,141
g00942,149,146
g00943,887,715
g00944,269,221
g00945,401,319
g00946,63,36
g00947,8,6
g00948,15,15
g00949,0,0
g00950,49,43
g00951,0,5
g00952,0,0
g00953,0,0
g00954,0,0
g00955,371,328
g00956,2,0
g00957,18,13
g00958,0,5
g00959,0,0
g00960,0,0
g00961,0,0
g00962,463,435
g00963,3715,2978
g00964,37,31
g00965,1405,1327
g00966,8,8
g00967,0,0
g00968,3085,2928
g00969,279,288
g00970,331,281
g00971,758,631
g00972,1,0
g00973,382,298
g00974,1233,1107
g00975,1351,1250
g00976,100,89
g00977,174,115
g00978,560,560
g00979,6,4
g00980,0,1
g00981,1071,973
g00982,619,511
g00983,111,81
g00984,1550,1360
