,wt_NB_f5,wt_NB_f4
g01060,12,25
g01061,111,126
g01062,0,0
g01063,0,0
g01064,1066,705
g01065,0,1
g01066,0,4
g01067,0,0
g01068,768,700
g01069,0,0
g01070,104,98
g01071,10,18
g01072,0,1
g01073,26,21
g01074,0,0
g01075,0,0
g01076,131,109
g01077,192,202
g01078,0,0
g01079,0,0
g01080,4787,3580
g01081,0,0
g01082,6,4
g01083,3764,5846
g01084,4,5
g01085,5,11
g01086,0,0
g01087,26,28
g01088,46,63
g01089,0,0
g01090,116,106
g01091,347,411
g01092,51,46
g01093,16,11
g01094,1,0
g01095,0,1
g01096,2,0
g01097,0,0
g01098,2,4
g01099,2955,2692
g01100,172,163
g01101,1796,2071
g01102,87,75
g01103,50,60
g01104,29,30
g01105,0,0
g01106,7,3
g01107,0,0
g01108,1,0
g01109,0,0
g01110,2206,2647
g01111,56,47
g01112,18,19
g01113,299,234
g01114,121,84
g01115,1,2
g01116,95,95
g01117,7,8
g01118,17,26
g01119,0,0
g01120,103,164
g01121,66,69
g01122,392,314
g01123,6,3
g01124,0,0
g01125,1,0
g01126,27,37
g01127,37,36
g01128,204,232
g01129,1544,1570
g01130,1,0
g01131,0,0
g01132,1,0
g01133,0,0
g01134,3,2
g01135,2000,1228
g01136,436,377
g01137,58,58
g01138,299,252
g01139,227,245
g01140,0,0
g01141,0,0
g01142,1,0
g01143,4,5
g01144,251,245
g01145,11,10
g01146,1,8
g01147,2,3
g01148,2,1
g01149,0,0
g01150,2767,2830
g01151,12,14
g01152,314,1408
g01153,138,96
g01154,232,238
g01155,0,0
g01156,1,1
g01157,1,6
g01158,20,33
g01159,2,4
g01160,16,22
g01161,264,40
g01162,772,807
g01163,135,104
g01164,1,2
g01165,1,0
g01166,8,16
g01167,1,0
g01168,29,43
g01169,3,0
g01170,475,376
g01171,1,7
g01172,0,0
g01173,4,2
g01174,155,122
g01175,2,0
g01176,36,42
g01177,778,807
g01178,6,10
g01179,178,148
g01180,124,127
g01181,106,120
g01182,352,333
g01183,163,179
g01184,1,0
g01185,295,310
g01186,433,472
g01187,133,64
g01188,28,19
g01189,6921,7528
g01190,247,212
g01191,196,186
g01192,8,8
g01193,1541,1327
g01194,38,30
g01195,0,0
g01196,9,17
g01197,4,4
g01198,0,0
g01199,3,3
g01200,0,0
g01201,0,0
g01202,9,10
g01203,0,1
g01204,0,0
g01205,0,0
g01206,335,357
g01207,14,8
g01208,1021,958
g01209,2652,2405
g01210,487,499
g01211,413,432
g01212,723,892
g01213,555,511
g01214,15,4
g01215,0,0
g01216,13,7
g01217,71,74
g01218,0,0
g01219,1,0
g01220,922,757
g01221,174,511
g01222,5,1
g01223,950,1167
g01224,403,1200
g01225,2,0
g01226,1,2
g01227,1,12
g01228,1,0
g01229,0,0
g01230,2,5
g01231,0,0
g01232,0,0
g01233,0,0
g01234,0,0
g01235,0,0
g01236,0,0
g01237,0,0
g01238,0,0
g01239,0,0
g01240,0,0
g01241,0,0
g01242,0,0
g01243,4,8
g01244,9,9
g01245,0,0
g01246,0,0
g01247,0,0
g01248,1,2
g01249,0,2
g01250,0,0
g01251,8,13
g01252,70,127
g01253,11,2
g01254,67,2
g01255,3,13
g01256,1,0
g01257,7,3
g01258,157,147
g01259,2,0
g01260,1,0
g01261,0,0
g01262,0,0
g01263,0,0
g01264,0,0
g01265,0,0
g01266,0,0
g01267,0,0
g01268,0,0
g01269,1,1
g01270,0,0
g01271,0,0
g01272,0,0
g01273,0,0
g01274,0,0
g01275,0,0
g01276,2,6
g01277,7,5
g01278,11,21
g01279,364,335
g01280,0,1
g01281,20,30
g01282,95,87
g01283,0,0
g01284,25,14
g01285,0,1
g01286,44,53
g01287,0,0
g01288,53,47
g01289,4,4
g01290,13,23
g01291,109,117
g01292,0,0
g01293,0,0
g01294,236,247
g01295,2,2
g01296,0,1
g01297,187,190
g01298,4,3
g01299,0,0
g01300,8,7
g01301,2,2
g01302,71,65
g01303,2365,2083
g01304,7,9
g01305,44,41
g01306,172,138
g01307,36,23
g01308,1112,1711
g01309,87,67
g01310,798,708
g01311,0,0
g01312,485,465
g01313,53,30
g01314,33,31
g01315,14,24
g01316,1052,1008
g01317,2,2
g01318,833,668
g01319,287,623
g01320,1,0
g01321,787,942
g01322,47,35
g01323,342,430
g01324,357,361
g01325,0,0
g01326,0,0
g01327,37,28
g01328,141,134
g01329,27,29
g01330,552,747
g01331,21,35
g01332,0,0
g01333,374,297
g01334,184,283
g01335,4082,6604
g01336,6,9
g01337,0,0
g01338,0,0
g01339,3,8
g01340,420,460
g01341,0,0
g01342,2313,1668
g01343,124,163
g01344,0,0
g01345,2488,3398
g01346,7,16
g01347,593,632
g01348,1140,1061
g01349,148,223
g01350,1,1
g01351,0,0
g01352,13,7
g01353,15,15
g01354,111,84
g01355,340,345
g01356,78,76
g01357,1016,913
g01358,162,128
g01359,1,1
g01360,2,2
g01361,28,21
g01362,0,0
g01363,0,0
g01364,3,7
g01365,0,1
g01366,207,190
g01367,0,0
g01368,5,7
g01369,255,235
g01370,962,1061
g01371,1,2
g01372,1191,1168
g01373,2,3
g01374,2,2
g01375,138,206
g01376,2414,1802
g01377,0,2
g01378,0,0
g01379,0,1
g01380,0,0
g01381,53,19
g01382,22,25
g01383,128,93
g01384,0,0
g01385,0,0
g01386,0,0
g01387,237,236
g01388,38,18
g01389,2,0
g01390,0,0
g01391,0,2
g01392,343,360
g01393,20,24
g01394,2,3
g01395,1,2
g01396,98,108
g01397,1671,2718
g01398,209,219
g01399,4,4
g01400,0,0
g01401,194,168
g01402,238,256
g01403,13,23
g01404,35,31
g01405,15,8
g01406,0,0
g01407,23,31
g01408,22,10
g01409,0,0
g01410,1,2
g01411,164,146
g01412,3,7
g01413,63,37
g01414,107,54
g01415,267,241
g01416,737,640
g01417,1,2
g01418,68,24
g01419,450,343
g01420,30,52
g01421,58,90
g01422,420,615
g01423,2085,3162
g01424,6,5
g01425,81,126
g01426,0,0
g01427,7,9
g01428,92,85
g01429,24,56
g01430,4,5
g01431,15,15
