,wt_NB_f5,wt_NB_f4
g11842,7,27
g11843,138,199
g11844,1787,1840
g11845,23,39
g11846,1526,1229
g11847,5,13
g11848,1040,1243
g11849,125,113
g11850,49,34
g11851,23,18
g11852,237,177
g11853,264,307
g11854,888,626
g11855,128,88
g11856,240,232
g11857,35,42
g11858,982,1253
g11859,206,285
g11860,1390,1371
g11861,323,284
g11862,854,717
g11863,96883,101431
g11864,28,6
g11865,57,34
g11866,2,2
g11867,0,0
g11868,112,78
g11869,878,922
g11870,0,3
g11871,12,13
g11872,11,16
g11873,17,9
g11874,28,34
g11875,101,90
g11876,103,95
g11877,2,14
g11878,4,8
g11879,15,9
g11880,1,0
g11881,2,7
g11882,154,161
g11883,314,273
g11884,8,16
g11885,10,20
g11886,125,88
g11887,71,43
g11888,4724,4520
g11889,1,1
g11890,0,0
g11891,0,0
g11892,826,830
g11893,75,96
g11894,1,2
g11895,0,0
g11896,32,58
g11897,316,399
g11898,1039,1102
g11899,726,577
g11900,3,0
g11901,19,17
g11902,162,84
g11903,0,1
g11904,1,4
g11905,0,0
g11906,0,0
g11907,0,0
g11908,0,0
g11909,0,0
g11910,0,0
g11911,0,0
g11912,0,0
g11913,0,0
g11914,0,0
g11915,2,0
g11916,1,2
g11917,1,0
g11918,0,0
g11919,6,15
g11920,0,0
g11921,0,0
g11922,0,0
g11923,7,1
g11924,1,0
g11925,5,8
g11926,1,0
g11927,0,0
g11928,0,0
g11929,0,0
g11930,0,0
g11931,0,0
g11932,106,91
g11933,80,108
g11934,0,0
g11935,0,0
g11936,0,0
g11937,0,1
g11938,232,221
g11939,843,844
g11940,0,0
g11941,0,0
g11942,0,0
g11943,0,0
g11944,0,0
g11945,0,0
g11946,0,0
g11947,0,0
g11948,0,0
g11949,0,0
g11950,0,0
g11951,0,0
g11952,0,0
g11953,0,0
g11954,0,0
g11955,1,0
g11956,32,31
g11957,98,96
g11958,30,26
g11959,0,1
g11960,1,0
g11961,0,0
g11962,0,0
g11963,0,0
g11964,0,0
g11965,409,402
g11966,12,5
g11967,985,913
g11968,3,11
g11969,0,0
g11970,0,0
g11971,0,0
g11972,0,0
g11973,0,0
g11974,0,0
g11975,0,0
g11976,0,0
g11977,0,0
g11978,0,0
g11979,0,0
g11980,0,0
g11981,0,0
g11982,0,0
g11983,0,0
g11984,0,0
g11985,0,0
g11986,0,0
g11987,0,0
g11988,0,0
g11989,0,0
g11990,0,0
g11991,0,0
g11992,0,0
g11993,0,0
g11994,0,0
g11995,0,0
g11996,0,0
g11997,0,0
g11998,0,0
g11999,0,0
g12000,0,0
g12001,0,0
g12002,0,0
g12003,0,0
g12004,0,0
g12005,0,0
g12006,0,0
g12007,0,0
g12008,0,0
g12009,0,0
g12010,0,0
g12011,218,236
g12012,2909,1566
g12013,57,51
g12014,0,0
g12015,355,232
g12016,44,55
g12017,49,62
g12018,1418,1260
g12019,0,0
g12020,18,12
g12021,7,30
g12022,60,51
g12023,152,118
g12024,7,7
g12025,1599,1515
g12026,40,42
g12027,44,24
g12028,6,15
g12029,6,6
g12030,1,0
g12031,5847,7965
g12032,0,0
g12033,0,0
g12034,0,0
g12035,26,5
g12036,912,488
g12037,2,0
g12038,990,1360
g12039,4,7
g12040,42,53
g12041,181,193
g12042,268,222
g12043,1,4
g12044,0,0
g12045,0,0
g12046,242,235
g12047,1,2
g12048,302,341
g12049,1,6
g12050,0,0
g12051,150,144
g12052,178,206
g12053,5,10
g12054,206,122
g12055,2,3
g12056,1643,2173
g12057,23,29
g12058,16,19
g12059,64,57
g12060,2,7
g12061,18,19
g12062,0,0
g12063,58,67
g12064,321,346
g12065,0,0
g12066,1625,1517
g12067,0,0
g12068,1,0
g12069,0,0
g12070,12,15
g12071,425,370
g12072,10,8
g12073,0,0
g12074,104,70
g12075,0,0
g12076,0,3
g12077,450,401
g12078,1,0
g12079,61,69
g12080,8,12
g12081,0,0
g12082,1,0
g12083,6,9
g12084,72,70
g12085,639,894
g12086,238,257
g12087,365,783
g12088,45,112
g12089,5,1
g12090,177,103
g12091,1,0
g12092,2,2
g12093,237,231
g12094,1,2
g12095,0,0
g12096,87,117
g12097,35,16
g12098,0,0
g12099,7,5
g12100,2008,2039
g12101,2533,2699
g12102,3,10
g12103,933,1020
g12104,503,729
g12105,7,13
g12106,0,0
g12107,180,216
g12108,309,232
g12109,0,0
g12110,0,0
g12111,0,0
g12112,0,0
g12113,1,0
g12114,4,8
g12115,0,0
g12116,398,328
g12117,0,0
g12118,2,6
g12119,3078,4712
g12120,748,783
g12121,15,12
g12122,1164,1568
g12123,17,79
g12124,363,270
g12125,1653,1573
g12126,22,19
g12127,0,0
g12128,0,0
g12129,57,33
g12130,0,0
g12131,0,0
g12132,0,0
g12133,0,0
g12134,1,0
g12135,1646,2382
g12136,259,614
g12137,4026,5294
g12138,376,391
g12139,56,34
g12140,58,35
g12141,2,5
g12142,0,1
g12143,33,48
g12144,3,8
g12145,2,3
g12146,0,3
g12147,0,0
g12148,0,0
g12149,1,0
g12150,0,0
g12151,144,153
g12152,1,0
g12153,52,47
g12154,0,0
g12155,1,1
g12156,34,39
g12157,0,3
g12158,2,3
g12159,63,76
g12160,7,8
g12161,1,2
g12162,0,1
g12163,2,5
g12164,1554,1556
g12165,67,194
g12166,1508,1429
g12167,164,213
g12168,12,9
g12169,316,255
g12170,33,97
g12171,11017,53695
g12172,143,113
g12173,2,0
g12174,109,83
g12175,1,0
g12176,0,0
g12177,658,739
g12178,0,1
g12179,16,17
g12180,0,0
g12181,1,0
g12182,1,0
g12183,80,56
g12184,0,2
g12185,10,8
g12186,6,10
g12187,143,128
g12188,92,77
g12189,49,30
g12190,0,0
g12191,0,0
g12192,0,0
g12193,0,0
g12194,0,0
g12195,0,0
g12196,0,0
g12197,0,0
g12198,0,0
g12199,0,0
g12200,0,0
g12201,0,0
g12202,0,0
g12203,0,0
g12204,0,0
g12205,89,81
g12206,1181,1119
g12207,490,214
g12208,54,41
g12209,14,17
g12210,0,0
g12211,83,74
g12212,0,0
g12213,414,262
g12214,395,554
g12215,1,0
g12216,0,0
g12217,0,0
g12218,0,0
g12219,0,0
g12220,2120,2539
g12221,10,5
g12222,2,4
g12223,240,277
g12224,488,583
g12225,20,19
g12226,2,1
g12227,83,67
g12228,182,187
g12229,275,214
g12230,795,638
g12231,55,23
g12232,155,92
g12233,139,145
g12234,455,536
g12235,1087,1326
g12236,6,3
g12237,19,11
g12238,3,2
g12239,38,28
g12240,875,948
g12241,1080,1128
g12242,125,117
g12243,298,295
g12244,3,3
g12245,49,57
g12246,0,0
g12247,123,47
g12248,270,372
g12249,44,75
g12250,40,28
g12251,3,2
g12252,0,0
g12253,275,175
g12254,55,26
g12255,7,5
g12256,1,0
g12257,23,32
g12258,343,250
g12259,0,0
g12260,214,185
g12261,15,16
g12262,146,94
g12263,164,130
g12264,60,50
g12265,4,1
g12266,2,1
g12267,534,635
g12268,5,5
g12269,2,1
g12270,657,637
g12271,208,223
g12272,101,99
g12273,34,31
g12274,0,1
g12275,24,16
g12276,9187,4278
g12277,188,101
g12278,673,301
g12279,15,11
g12280,922,614
g12281,0,0
g12282,12,17
g12283,721,671
g12284,794,801
g12285,0,0
g12286,0,0
g12287,237,288
g12288,10,12
g12289,827,666
g12290,393,399
g12291,170,123
g12292,676,753
g12293,38,52
g12294,173,318
g12295,0,4
g12296,0,2
g12297,0,0
g12298,60,45
g12299,0,0
g12300,66,43
g12301,24,10
g12302,68,47
g12303,111,100
g12304,0,0
g12305,0,0
g12306,87,54
g12307,371,347
g12308,3166,3084
g12309,6,4
g12310,225,234
g12311,29,48
g12312,1288,1492
g12313,617,391
g12314,604,355
g12315,2,1
g12316,0,0
g12317,1175,825
g12318,22,56
g12319,162,181
g12320,18,44
g12321,34,41
g12322,61,56
g12323,0,0
g12324,13,22
g12325,127,115
g12326,2625,2907
g12327,108,97
g12328,57,44
g12329,10,14
g12330,322,349
g12331,87,38
g12332,233,281
g12333,2671,3005
g12334,254,504
g12335,76,75
g12336,5,4
g12337,54,25
g12338,803,1094
g12339,6,3
g12340,68,68
g12341,59,68
g12342,60,67
g12343,575,381
g12344,7,6
g12345,0,0
g12346,30,27
g12347,3497,3800
g12348,99,103
g12349,50,26
g12350,2541,2991
g12351,1308,2148
g12352,0,0
g12353,540,547
g12354,17,15
g12355,3430,2768
g12356,27,13
g12357,780,796
g12358,0,0
g12359,2,0
g12360,2,1
g12361,0,0
g12362,1,0
g12363,1002,800
g12364,0,0
g12365,1294,1009
g12366,6,7
g12367,1331,1563
g12368,205,183
g12369,23,11
g12370,7,4
g12371,400,513
g12372,1,0
g12373,533,588
g12374,87,79
g12375,3334,2388
g12376,0,0
g12377,319,238
g12378,1983,1382
g12379,13,11
g12380,1615,1715
g12381,0,3
g12382,19,29
g12383,1918,1538
g12384,235,220
g12385,451,483
g12386,12,18
g12387,65,65
g12388,32,13
g12389,0,0
g12390,0,0
g12391,10,13
g12392,9,12
g12393,0,1
g12394,79,106
g12395,246,266
g12396,4,7
g12397,572,614
g12398,392,247
g12399,775,737
g12400,511,791
g12401,15838,14801
g12402,0,0
g12403,22,12
g12404,339,398
g12405,259,170
g12406,0,0
g12407,1732,1737
g12408,7,7
g12409,1,2
g12410,0,0
g12411,0,0
g12412,0,0
g12413,0,0
g12414,0,0
g12415,0,0
g12416,1,2
g12417,909,587
g12418,0,0
g12419,0,1
g12420,24,26
g12421,417,517
g12422,0,0
g12423,0,0
g12424,24,19
g12425,443,381
g12426,3,2
g12427,0,2
g12428,0,3
g12429,0,0
g12430,127,87
g12431,2,4
g12432,166,173
g12433,0,0
g12434,518,513
g12435,12,4
g12436,4399,3594
g12437,0,1
g12438,28,35
g12439,5,6
g12440,107,97
g12441,10,30
g12442,47,56
g12443,0,0
g12444,115,98
g12445,0,0
g12446,8,14
g12447,0,0
g12448,0,0
g12449,0,0
g12450,0,0
g12451,0,0
g12452,0,0
g12453,0,0
g12454,0,0
g12455,0,0
g12456,0,0
g12457,0,0
g12458,0,0
g12459,0,0
g12460,0,0
g12461,54,61
g12462,130,134
g12463,70,41
g12464,0,0
g12465,2,3
g12466,0,0
g12467,195,178
g12468,11,14
g12469,72,60
g12470,257,266
g12471,26,64
g12472,14,15
g12473,626,1020
g12474,5,0
g12475,0,0
g12476,58,72
g12477,0,0
g12478,320,421
g12479,23,22
g12480,152,179
g12481,11,7
g12482,10,4
g12483,0,2
g12484,0,0
g12485,22,18
g12486,14,6
g12487,72,58
g12488,1532,2287
g12489,569,511
g12490,291,156
g12491,69,39
g12492,221,213
g12493,23,12
g12494,716,912
g12495,613,992
g12496,0,0
g12497,50,83
g12498,2,1
g12499,1131,1697
g12500,86,72
g12501,9,11
g12502,4,0
g12503,0,4
g12504,0,0
g12505,1069,871
g12506,118,162
g12507,12,22
g12508,2,3
g12509,189,133
g12510,897,870
g12511,58,60
g12512,0,0
g12513,187,113
g12514,2,6
g12515,0,0
g12516,0,0
g12517,0,0
g12518,0,0
g12519,0,0
g12520,0,0
g12521,0,0
g12522,0,0
g12523,0,0
g12524,0,0
g12525,0,0
g12526,0,0
g12527,0,0
g12528,0,0
g12529,0,0
g12530,0,0
g12531,0,0
g12532,0,0
g12533,0,0
g12534,0,0
g12535,0,0
g12536,0,0
g12537,0,0
g12538,0,0
g12539,0,0
g12540,0,0
g12541,0,0
g12542,0,0
g12543,0,0
g12544,0,0
g12545,0,0
g12546,0,0
g12547,0,0
g12548,0,0
g12549,0,0
g12550,0,0
g12551,0,0
g12552,0,0
g12553,0,0
g12554,0,0
g12555,8,8
g12556,0,0
g12557,0,0
g12558,49,125
g12559,0,1
g12560,511,385
g12561,0,0
g12562,127,149
g12563,308,358
g12564,114,221
g12565,9,10
g12566,0,3
g12567,153,230
g12568,782,1175
g12569,63,90
g12570,8,11
g12571,25,31
g12572,9,24
g12573,28,28
g12574,0,0
g12575,350,662
g12576,697,1377
g12577,15,6
g12578,6,14
g12579,2,6
g12580,296,301
g12581,0,2
g12582,46,62
g12583,0,0
g12584,0,0
g12585,9,7
g12586,0,3
g12587,205,202
g12588,1107,961
g12589,4160,4235
g12590,486,372
g12591,2,1
g12592,1156,1104
g12593,1,6
g12594,20,24
g12595,7,23
g12596,25,28
g12597,541,784
g12598,62,82
g12599,519,536
g12600,0,0
g12601,238,217
g12602,76,64
g12603,0,0
g12604,21,24
g12605,1,4
g12606,0,0
g12607,0,1
g12608,2,4
g12609,0,0
g12610,0,0
g12611,13,16
g12612,210,287
g12613,0,0
g12614,0,0
g12615,562,513
g12616,129,141
g12617,5,7
g12618,2,4
g12619,20,13
g12620,1,1
g12621,0,0
g12622,0,2
g12623,0,0
g12624,1,1
g12625,0,0
g12626,6,7
g12627,37,40
g12628,1792,2186
g12629,449,823
g12630,61,59
g12631,1561,1466
g12632,1,3
g12633,0,0
g12634,160,188
g12635,0,0
g12636,9,9
g12637,0,0
g12638,368,1171
g12639,806,1612
g12640,251,595
g12641,4971,12282
g12642,46,83
g12643,2048,2090
g12644,1919,2130
g12645,27,34
g12646,0,0
g12647,2,2
g12648,483,584
g12649,272,321
g12650,114,97
g12651,54,45
g12652,135,134
g12653,104,116
g12654,4,8
g12655,185,166
g12656,0,2
g12657,0,0
g12658,1291,991
g12659,81,113
g12660,668,598
g12661,0,7
g12662,36,48
g12663,2534,1750
g12664,31,107
g12665,280,508
g12666,3822,5013
g12667,969,1091
g12668,1186,1336
g12669,134,119
g12670,264,217
g12671,241,254
g12672,577,633
g12673,0,1
g12674,1,7
g12675,11,10
g12676,7,7
g12677,4,3
g12678,430,420
g12679,121,118
g12680,13,22
g12681,10,13
g12682,59,56
g12683,24,13
g12684,1,0
g12685,554,622
g12686,0,0
g12687,5541,6033
g12688,266,284
g12689,25,39
g12690,68,73
g12691,3,1
g12692,1,1
g12693,578,536
g12694,74,92
g12695,548,370
g12696,54,67
g12697,136,94
g12698,11,11
g12699,908,836
g12700,7,12
g12701,96,76
g12702,1,2
g12703,0,0
g12704,0,0
g12705,0,1
g12706,0,0
g12707,1,1
g12708,67,33
g12709,0,0
g12710,0,0
g12711,0,0
g12712,0,0
g12713,0,0
g12714,0,0
g12715,0,0
g12716,4,4
g12717,693,711
g12718,225,266
g12719,122,127
g12720,869,704
g12721,0,1
g12722,1,1
g12723,206,229
g12724,135,104
g12725,73,43
g12726,1672,3157
g12727,307,349
g12728,7,23
g12729,224,167
g12730,502,486
g12731,777,713
g12732,290,292
g12733,3935,3736
g12734,90,102
g12735,1412,1534
g12736,18,9
g12737,0,0
g12738,43,41
g12739,88,60
g12740,94,106
g12741,30,27
g12742,22,16
g12743,2,2
g12744,0,0
g12745,0,0
g12746,0,4
g12747,183,172
g12748,459,532
g12749,674,697
g12750,161,157
g12751,145,107
g12752,1021,1012
g12753,15,10
g12754,205,256
g12755,13,11
g12756,61,38
g12757,35,26
g12758,2,2
g12759,0,1
g12760,1,0
g12761,0,0
g12762,0,1
g12763,4,5
g12764,20,29
g12765,1,0
g12766,369,435
g12767,293,240
g12768,5592,5332
g12769,216,219
g12770,9,8
g12771,0,0
g12772,0,0
g12773,0,0
g12774,27,12
g12775,16,18
g12776,5,6
g12777,245,172
g12778,0,3
g12779,3391,3688
g12780,8,3
g12781,148,127
g12782,0,0
g12783,297,262
g12784,7,3
g12785,0,4
g12786,0,0
g12787,196,227
g12788,98,86
g12789,3,6
g12790,0,0
g12791,93,102
g12792,639,685
g12793,1,0
g12794,4,3
g12795,86,71
g12796,727,701
g12797,1,1
g12798,163,198
g12799,195,134
g12800,4078,4434
g12801,178,212
g12802,1,0
g12803,5,7
g12804,25,35
g12805,688,715
g12806,261,285
g12807,7033,7848
g12808,44,45
g12809,448,310
g12810,23,24
g12811,14,15
g12812,353,466
g12813,301,272
g12814,75,59
g12815,156,131
g12816,412,459
g12817,4,10
g12818,832,842
g12819,3,6
g12820,134,103
g12821,700,611
g12822,1050,1177
g12823,783,1416
g12824,603,482
g12825,158,138
g12826,3,2
g12827,873,810
g12828,20,23
g12829,1,1
g12830,1,0
g12831,1,1
g12832,0,0
g12833,45,22
g12834,119,103
g12835,324,309
g12836,4,9
g12837,802,1270
g12838,392,453
g12839,154,185
g12840,218,142
g12841,951,967
g12842,1281,1227
g12843,20,21
g12844,1051,1064
g12845,440,322
g12846,10,6
g12847,51,40
g12848,12,6
g12849,561,534
g12850,0,0
g12851,1,0
g12852,97,78
g12853,504,573
g12854,5,11
g12855,5,3
g12856,32,57
g12857,3560,7362
g12858,1625,2894
g12859,94,180
g12860,15,8
g12861,8,10
g12862,2138,1897
g12863,61,43
g12864,40,77
g12865,768,647
g12866,3193,3875
g12867,26,19
g12868,0,0
g12869,311,252
g12870,1380,1641
g12871,0,6
g12872,97,75
g12873,742,681
g12874,131,135
g12875,1062,1066
g12876,244,187
g12877,76,9
g12878,6,5
g12879,9,9
g12880,37,25
g12881,12,12
g12882,0,0
g12883,61,48
g12884,294,297
g12885,4,3
g12886,3,0
g12887,6,7
g12888,1,0
g12889,287,324
g12890,53,47
g12891,293,255
g12892,190,170
g12893,50,35
g12894,8986,12046
g12895,266,293
g12896,51,33
g12897,14,7
g12898,86,108
g12899,2,4
g12900,14,13
g12901,52,98
g12902,532,601
g12903,1152,1326
g12904,11,16
g12905,21,24
g12906,41,50
g12907,3,4
g12908,0,0
g12909,64,64
g12910,4,4
g12911,481,462
g12912,1985,2257
g12913,2087,3553
g12914,98,240
g12915,622,626
g12916,304,266
g12917,0,0
g12918,10,9
g12919,3,3
g12920,0,0
g12921,8,8
g12922,389,422
g12923,1305,1275
g12924,0,0
g12925,10676,18688
g12926,156,142
g12927,0,0
g12928,0,0
g12929,173,163
g12930,1,0
g12931,1168,1707
g12932,42,49
g12933,0,1
g12934,2,2
g12935,156,137
g12936,182,151
g12937,0,0
g12938,0,0
g12939,510,435
g12940,418,312
g12941,2,1
g12942,5,1
g12943,2992,4311
g12944,0,0
g12945,0,0
g12946,0,0
g12947,0,0
g12948,0,0
g12949,0,0
g12950,0,0
g12951,0,0
g12952,0,4
g12953,0,0
g12954,0,0
g12955,0,0
g12956,0,0
g12957,0,0
g12958,0,0
g12959,0,0
g12960,0,0
g12961,0,0
g12962,0,0
g12963,0,0
g12964,0,0
g12965,0,0
g12966,0,0
g12967,0,0
g12968,0,0
g12969,0,0
g12970,0,0
g12971,0,0
g12972,0,0
g12973,442,448
g12974,937,1187
g12975,0,0
g12976,193,181
g12977,49,54
g12978,1785,2065
g12979,130,110
g12980,579,626
g12981,6,6
g12982,114,102
g12983,64,56
g12984,40,34
g12985,910,880
g12986,1,0
g12987,172,167
g12988,1,0
g12989,0,2
g12990,4,5
g12991,1,1
g12992,443,535
g12993,677,651
g12994,1262,1650
g12995,247,288
g12996,15,20
g12997,334,360
g12998,2,0
g12999,1,2
g13000,3,3
g13001,0,0
g13002,62,94
g13003,72,80
g13004,2,0
g13005,4,7
g13006,0,0
g13007,0,0
g13008,1059,1198
g13009,248,290
g13010,305,409
g13011,486,580
g13012,8,15
g13013,377,523
g13014,42,41
g13015,377,346
g13016,2,3
g13017,0,0
g13018,370,318
g13019,0,0
g13020,0,0
g13021,0,0
g13022,15,5
g13023,6,12
g13024,4,3
g13025,497,492
g13026,310,250
g13027,2,1
g13028,2020,2238
g13029,40,35
g13030,0,0
g13031,659,823
g13032,118,59
g13033,923,955
g13034,86,101
g13035,1,0
g13036,1,0
g13037,0,0
g13038,3,13
g13039,1,1
g13040,0,0
g13041,3,3
g13042,40,46
g13043,2,2
g13044,0,0
g13045,25,23
g13046,0,0
g13047,1,3
g13048,1,0
g13049,0,0
g13050,56,75
g13051,0,0
g13052,1,2
g13053,443,403
g13054,0,0
g13055,2039,2176
g13056,0,1
g13057,3901,3916
g13058,129,127
g13059,1050,889
g13060,19,18
g13061,77,121
g13062,2224,2954
g13063,7,9
g13064,3,2
g13065,0,0
g13066,1,3
g13067,172,121
g13068,2274,2651
g13069,0,0
g13070,450,466
g13071,500,610
g13072,1,1
g13073,4,1
g13074,978,673
g13075,0,0
g13076,12,6
g13077,110,66
g13078,76,32
g13079,7,6
g13080,7,3
g13081,0,0
g13082,0,2
g13083,177,177
g13084,0,0
g13085,4,6
g13086,3,4
g13087,3,4
g13088,388,175
g13089,23,22
g13090,0,0
g13091,1,0
g13092,2,2
g13093,4,4
g13094,0,0
g13095,3,3
g13096,2,1
g13097,115,48
g13098,0,0
g13099,1,0
g13100,215,186
g13101,3,5
g13102,17,11
g13103,0,0
g13104,3,4
g13105,18,113
g13106,0,1
g13107,17,14
g13108,15,10
g13109,16,23
g13110,435,309
g13111,12,8
g13112,0,0
g13113,115,159
g13114,61,38
g13115,1104,1036
g13116,106,92
g13117,2021,2129
g13118,0,2
g13119,6,2
g13120,0,0
g13121,0,0
g13122,1,0
g13123,828,806
g13124,886,853
g13125,65,66
g13126,198,187
g13127,5,5
g13128,1046,941
g13129,221,217
g13130,150,167
g13131,40,40
g13132,84,82
g13133,19,21
g13134,1,2
g13135,0,2
g13136,2,2
g13137,3,3
g13138,359,551
g13139,1361,797
g13140,401,1171
g13141,105,233
g13142,1705,1532
g13143,53,40
g13144,1,2
g13145,0,0
g13146,0,0
g13147,802,848
g13148,87,69
g13149,7621,7248
g13150,559,559
g13151,0,0
g13152,40,49
g13153,45,39
g13154,90,98
g13155,13,16
g13156,1,1
g13157,3,4
g13158,3,3
g13159,16,10
g13160,204,170
g13161,0,3
g13162,501,355
g13163,0,0
g13164,289,296
g13165,0,0
g13166,1,1
g13167,0,0
g13168,2,1
g13169,3,1
g13170,43,9
g13171,249,192
g13172,15,17
g13173,57,48
g13174,96,52
g13175,0,1
g13176,3,0
g13177,0,0
g13178,467,372
g13179,0,1
g13180,0,0
g13181,0,0
g13182,0,0
g13183,140,117
g13184,163,193
g13185,1,9
g13186,0,0
g13187,208,124
g13188,45,46
g13189,0,2
g13190,14,16
g13191,0,0
g13192,0,0
g13193,210,226
g13194,9,12
g13195,188,139
g13196,0,0
g13197,8,7
g13198,36,51
g13199,1182,1204
g13200,11,4
g13201,48,37
g13202,50,22
g13203,0,0
g13204,262,205
g13205,0,0
g13206,0,0
g13207,0,0
g13208,360,294
g13209,22,34
g13210,0,0
g13211,0,0
g13212,0,0
g13213,9254,9797
g13214,7,11
g13215,2,1
g13216,0,0
g13217,157,158
g13218,0,0
g13219,5,1
g13220,2888,3400
g13221,32,27
g13222,0,0
g13223,21,20
g13224,0,0
g13225,0,0
g13226,803,737
g13227,458,391
g13228,2,2
g13229,0,0
g13230,13,10
g13231,6,5
g13232,3,2
g13233,169,203
g13234,4217,3700
g13235,9,9
g13236,227,144
g13237,49,31
g13238,217,215
g13239,3366,3368
g13240,32,35
g13241,2,11
g13242,0,0
g13243,3,0
g13244,5,5
g13245,5,7
g13246,1,0
g13247,74,61
g13248,57,35
g13249,0,0
g13250,12,7
g13251,5,12
g13252,2,1
g13253,48,58
g13254,9,5
g13255,1261,1158
g13256,4914,4400
g13257,35,29
g13258,20,9
g13259,1,2
g13260,0,0
g13261,0,0
g13262,0,0
g13263,0,0
g13264,0,0
g13265,0,0
g13266,2152,1836
g13267,4,0
g13268,0,1
g13269,0,0
g13270,0,0
g13271,0,0
g13272,0,0
g13273,0,0
g13274,0,0
g13275,0,0
g13276,0,0
g13277,0,0
g13278,0,0
g13279,0,0
g13280,0,0
g13281,0,0
g13282,0,0
g13283,0,1
g13284,0,0
g13285,0,0
g13286,0,0
g13287,0,0
g13288,0,0
g13289,0,0
g13290,0,0
g13291,0,0
g13292,0,0
g13293,0,0
g13294,0,0
g13295,0,0
g13296,0,0
g13297,0,0
g13298,0,0
g13299,0,0
g13300,0,0
g13301,0,0
g13302,0,0
g13303,0,0
g13304,0,0
g13305,0,2
g13306,0,0
g13307,0,0
g13308,0,0
g13309,0,0
g13310,0,0
g13311,0,0
g13312,0,0
g13313,0,0
g13314,0,0
g13315,0,0
g13316,0,0
g13317,0,0
g13318,0,0
g13319,0,0
g13320,0,0
g13321,0,0
g13322,0,0
g13323,0,0
g13324,0,0
g13325,0,0
g13326,0,0
g13327,0,0
g13328,0,0
g13329,0,0
g13330,0,0
g13331,0,0
g13332,0,0
g13333,0,0
g13334,0,0
g13335,0,0
g13336,0,0
g13337,0,0
g13338,0,0
g13339,0,0
g13340,0,0
g13341,0,0
g13342,0,0
g13343,0,0
g13344,0,0
g13345,0,0
g13346,0,0
g13347,0,0
g13348,0,0
g13349,0,0
g13350,0,0
g13351,0,0
g13352,0,0
g13353,0,0
g13354,0,0
g13355,0,0
g13356,0,0
g13357,0,0
g13358,0,0
g13359,0,0
g13360,0,0
g13361,0,0
g13362,0,0
g13363,0,0
g13364,0,0
g13365,0,0
g13366,0,0
g13367,0,0
g13368,0,0
g13369,0,0
g13370,0,0
g13371,0,0
g13372,0,0
g13373,0,0
g13374,0,0
g13375,0,0
g13376,0,0
g13377,0,0
g13378,0,0
g13379,0,0
g13380,0,0
g13381,0,0
g13382,0,0
g13383,0,0
g13384,0,0
g13385,0,0
g13386,0,0
g13387,0,0
g13388,0,0
g13389,0,0
g13390,0,0
g13391,0,0
g13392,0,0
g13393,0,0
g13394,0,0
g13395,0,0
g13396,0,0
g13397,0,0
g13398,0,0
g13399,0,0
g13400,0,0
g13401,0,0
g13402,0,0
g13403,0,0
g13404,0,0
g13405,0,0
g13406,0,0
g13407,0,0
g13408,0,0
g13409,0,0
g13410,0,0
g13411,0,0
g13412,0,0
g13413,0,0
g13414,0,0
g13415,0,0
g13416,0,0
g13417,0,0
g13418,0,0
g13419,0,0
g13420,0,0
g13421,0,0
g13422,0,0
g13423,0,0
g13424,0,0
g13425,0,0
g13426,0,0
g13427,0,0
g13428,0,0
g13429,0,0
g13430,0,0
g13431,0,0
g13432,0,0
g13433,0,0
g13434,0,0
g13435,0,0
g13436,0,0
g13437,0,0
g13438,0,0
g13439,0,0
g13440,0,0
g13441,0,0
g13442,0,0
g13443,0,0
g13444,0,0
g13445,0,0
g13446,0,0
g13447,0,0
g13448,0,0
g13449,0,0
g13450,0,0
g13451,0,0
g13452,0,0
g13453,0,0
g13454,0,0
g13455,0,0
g13456,0,0
g13457,0,0
g13458,0,0
g13459,0,0
g13460,0,0
g13461,0,0
g13462,0,0
g13463,0,0
g13464,0,0
g13465,0,0
g13466,0,0
g13467,0,0
g13468,0,0
g13469,0,0
g13470,0,0
g13471,0,0
g13472,0,0
g13473,0,0
g13474,0,0
g13475,0,0
g13476,0,0
g13477,0,0
g13478,0,0
g13479,0,0
g13480,0,0
g13481,0,0
g13482,0,0
g13483,0,0
g13484,0,0
g13485,0,0
g13486,0,0
g13487,0,0
g13488,0,0
g13489,0,0
g13490,43,69
g13491,195,140
g13492,965,1098
g13493,1,1
g13494,694,748
g13495,124,146
g13496,266,269
g13497,311,450
g13498,222,264
g13499,580,524
g13500,0,0
g13501,2,5
g13502,1394,1421
g13503,28,40
g13504,0,1
g13505,7,19
g13506,3,4
g13507,700,748
g13508,2,0
g13509,95,104
g13510,48,61
g13511,2,1
g13512,0,1
g13513,516,648
g13514,846,830
g13515,117,85
g13516,2372,2818
g13517,0,4
g13518,1375,1764
g13519,3,0
g13520,3,5
g13521,297,302
g13522,396,460
g13523,1242,1465
g13524,1179,1258
g13525,79,103
g13526,1172,1433
g13527,33,34
g13528,29,20
g13529,283,323
g13530,342,246
g13531,456,456
g13532,4,5
g13533,79,95
g13534,358,330
g13535,8,11
g13536,73,55
g13537,1697,756
g13538,207,90
g13539,122,72
g13540,0,0
g13541,2,5
g13542,21,35
g13543,66,79
g13544,59,66
g13545,32,40
g13546,5,3
g13547,245,182
g13548,0,3
g13549,12,19
g13550,274,240
g13551,12,14
g13552,0,0
g13553,3,8
g13554,17,13
g13555,194,198
g13556,1526,1530
g13557,0,0
g13558,0,0
