,mut_E14.5_f5,mut_E14.5_f4
g00884,27,7
g00885,600,579
g00886,251,227
g00887,32,24
g00888,243,238
g00889,2299,2263
g00890,1208,937
g00891,1501,1511
g00892,282,297
g00893,3084,3433
g00894,179,110
g00895,1886,1610
g00896,551,367
g00897,32,27
g00898,815,838
g00899,649,567
g00900,0,3
g00901,1286,1435
g00902,3,0
g00903,74,64
g00904,2,1
g00905,5,4
g00906,2551,2520
g00907,16,31
g00908,172,212
g00909,344,335
g00910,0,0
g00911,632,689
g00912,0,3
g00913,2,0
g00914,0,1
g00915,53,65
g00916,166,163
g00917,2,0
g00918,2,3
g00919,96,86
g00920,0,0
g00921,513,430
g00922,0,0
g00923,23,24
g00924,58,55
g00925,0,0
g00926,491,485
g00927,41,39
g00928,0,0
g00929,1068,896
g00930,1455,1354
g00931,0,0
g00932,0,0
g00933,0,0
g00934,1,1
g00935,1,0
g00936,361,261
g00937,114,105
g00938,3,0
g00939,0,0
g00940,174,133
g00941,293,285
g00942,155,137
g00943,1043,1122
g00944,235,195
g00945,407,428
g00946,68,81
g00947,1,1
g00948,8,2
g00949,0,0
g00950,17,16
g00951,156,124
g00952,0,0
g00953,0,0
g00954,0,0
g00955,175,163
g00956,1,0
g00957,16,17
g00958,0,3
g00959,0,0
g00960,1,0
g00961,1,0
g00962,456,473
g00963,3959,3255
g00964,84,39
g00965,2458,2201
g00966,4,2
g00967,0,0
g00968,3079,2985
g00969,249,250
g00970,411,375
g00971,1244,1322
g00972,0,2
g00973,527,524
g00974,1716,1922
g00975,1265,1224
g00976,163,180
g00977,295,260
g00978,804,786
g00979,9,6
g00980,1,8
g00981,921,1060
g00982,502,606
g00983,66,58
g00984,1684,1601
g00985,1004,1034
g00986,218,138
g00987,3199,2723
g00988,0,5
g00989,11,4
g00990,1522,1462
g00991,130,152
g00992,182,197
g00993,5,2
g00994,232,288
g00995,451,478
g00996,8,1
g00997,0,3
g00998,3,0
g00999,0,2
g01000,1754,1765
g01001,335,319
g01002,28,27
g01003,0,0
g01004,919,836
g01005,277,360
g01006,77,73
g01007,1068,1175
g01008,405,396
g01009,20,17
g01010,1545,1564
g01011,3,2
g01012,546,522
g01013,19,19
g01014,66,80
g01015,480,549
g01016,2706,2199
g01017,503,405
g01018,1777,1585
g01019,55,49
g01020,10,6
g01021,1,2
g01022,4,0
g01023,637,581
g01024,1004,974
g01025,79,52
g01026,173,168
g01027,1306,1263
g01028,1483,1416
g01029,1298,1327
g01030,0,1
g01031,1177,1160
g01032,355,320
g01033,96,71
g01034,289,236
g01035,0,0
g01036,150,148
g01037,1091,1043
g01038,0,0
g01039,1216,1014
g01040,0,0
g01041,350,337
g01042,10,4
g01043,99,86
g01044,139,127
g01045,29,26
g01046,476,556
g01047,176,189
g01048,718,827
g01049,858,864
g01050,5,4
g01051,26,22
g01052,0,0
g01053,1392,1222
g01054,46,35
g01055,376,349
g01056,2547,2651
g01057,19,17
g01058,14,18
g01059,229,221
g01060,71,59
g01061,505,439
g01062,72,98
g01063,3,2
g01064,949,886
g01065,1,0
g01066,7,2
g01067,5,1
g01068,893,983
g01069,0,0
g01070,273,250
g01071,438,415
g01072,23,23
g01073,2233,2063
g01074,11,7
g01075,34,17
g01076,268,274
g01077,282,290
g01078,8,3
g01079,0,0
g01080,5705,4369
g01081,0,2
g01082,332,310
g01083,56,63
g01084,1,0
g01085,0,0
g01086,1,0
g01087,1753,1887
g01088,256,227
g01089,0,0
g01090,1547,1587
g01091,344,344
g01092,295,284
g01093,42,53
g01094,6,3
g01095,4,1
g01096,1,0
g01097,0,1
g01098,11,13
g01099,193,185
g01100,116,103
g01101,339,352
g01102,272,302
g01103,605,480
g01104,1066,863
g01105,1,0
g01106,0,0
g01107,1,0
g01108,2,1
g01109,3,0
g01110,565,546
g01111,454,455
g01112,261,324
g01113,682,628
g01114,373,396
g01115,9,7
g01116,407,420
g01117,18,12
g01118,288,277
g01119,1,0
g01120,252,217
g01121,180,152
g01122,883,794
g01123,398,444
g01124,3,0
g01125,0,4
g01126,242,189
g01127,67,85
g01128,479,512
g01129,1792,1720
g01130,0,0
g01131,0,0
