,wt_E16.5_f4,wt_E16.5_f5
g04672,1,1
g04673,405,420
g04674,22,22
g04675,168,142
g04676,2281,1881
g04677,1340,1376
g04678,401,369
g04679,0,1
g04680,0,0
g04681,615,608
g04682,209,221
g04683,0,1
g04684,37,28
g04685,374,341
g04686,2315,2267
g04687,184,182
g04688,3,2
g04689,6,10
g04690,4457,4422
g04691,722,443
g04692,146,173
g04693,1,1
g04694,15,17
g04695,564,579
g04696,250,287
g04697,81,68
g04698,24,30
g04699,0,0
g04700,2,2
g04701,26,17
g04702,0,0
g04703,0,0
g04704,6,9
g04705,2,5
g04706,0,0
g04707,0,1
g04708,0,0
g04709,0,0
g04710,16,10
g04711,1,0
g04712,0,0
g04713,5,2
g04714,37,27
g04715,4,4
g04716,5,3
g04717,252,231
g04718,292,265
g04719,830,926
g04720,233,191
g04721,1342,1161
g04722,605,519
g04723,7,5
g04724,2,7
g04725,0,1
g04726,5,1
g04727,18,16
g04728,9,6
g04729,2,5
g04730,0,0
g04731,36,18
g04732,1,1
g04733,212,210
g04734,2545,2315
g04735,297,272
g04736,34,20
g04737,823,932
g04738,94,108
g04739,4666,3974
g04740,2733,2630
g04741,647,680
g04742,0,0
g04743,1,0
g04744,0,0
g04745,606,632
g04746,51,20
g04747,90,59
g04748,0,0
g04749,0,1
g04750,827,865
g04751,0,0
g04752,2,0
g04753,1,2
g04754,4,4
g04755,1049,810
g04756,244,227
g04757,142,250
g04758,686,661
g04759,267,263
g04760,1,0
g04761,8,10
g04762,0,1
g04763,2984,2979
g04764,1,0
g04765,8,8
g04766,2,0
g04767,296,325
g04768,5,10
g04769,289,243
g04770,73,85
g04771,6,9
g04772,0,0
g04773,4796,4614
g04774,1090,996
g04775,1,5
g04776,170,231
g04777,1,2
g04778,102,110
g04779,75,82
g04780,735,727
g04781,75,108
g04782,2271,1943
g04783,405,290
g04784,0,1
g04785,250,311
g04786,3,1
g04787,302,235
g04788,865,707
g04789,85,58
g04790,12,13
g04791,817,855
g04792,12,15
g04793,30,31
g04794,200,259
g04795,19,16
g04796,0,0
g04797,192,170
g04798,0,0
g04799,1592,1411
g04800,60,74
g04801,207,225
g04802,8,6
g04803,1006,895
g04804,49,43
g04805,0,0
g04806,1173,1072
g04807,25,22
g04808,0,0
g04809,0,0
g04810,300,318
g04811,21,22
g04812,10,10
g04813,1726,1455
g04814,467,462
g04815,1,1
g04816,770,622
g04817,160,162
g04818,0,0
g04819,320,388
g04820,9,12
g04821,13,7
g04822,1,1
g04823,32,33
g04824,755,803
g04825,12,11
g04826,34,30
g04827,1011,765
g04828,34,26
g04829,3,3
g04830,266,229
g04831,363,387
g04832,50,40
g04833,180,200
g04834,133,128
g04835,0,0
g04836,1297,1140
g04837,200,205
g04838,319,313
g04839,131,122
g04840,1,1
g04841,1,0
g04842,0,0
g04843,1,0
g04844,0,0
g04845,126,127
g04846,843,782
g04847,987,860
g04848,147,114
g04849,2512,1988
g04850,279,237
g04851,8036,6596
g04852,493,375
g04853,1418,1454
g04854,167,148
g04855,0,1
g04856,44,39
g04857,2342,2196
g04858,0,0
g04859,679,663
g04860,108,107
g04861,3,0
g04862,413,448
g04863,0,0
g04864,0,2
g04865,1122,984
g04866,98,88
g04867,357,300
g04868,1159,1049
g04869,1841,1506
g04870,1307,1381
g04871,71,64
g04872,6,4
g04873,61,72
g04874,0,0
g04875,0,0
g04876,43,53
g04877,0,0
g04878,0,0
g04879,125,117
g04880,28,13
g04881,181,164
g04882,209,203
g04883,1322,1102
g04884,652,669
g04885,1,4
g04886,6,10
g04887,1687,1739
g04888,553,581
g04889,0,1
g04890,204,207
g04891,0,1
g04892,0,2
g04893,0,0
g04894,0,0
g04895,0,0
g04896,0,2
g04897,0,3
g04898,536,532
g04899,113,84
g04900,0,0
g04901,0,0
g04902,0,0
g04903,0,2
g04904,0,0
g04905,1,2
g04906,12,15
g04907,598,547
g04908,166,133
g04909,2424,2154
g04910,84,71
g04911,369,284
g04912,1460,1451
g04913,0,0
g04914,1221,1186
g04915,267,262
g04916,0,0
g04917,0,0
g04918,18,12
g04919,0,0
g04920,0,0
g04921,21,17
g04922,342,295
g04923,892,773
g04924,901,750
g04925,888,764
g04926,480,474
g04927,608,560
g04928,0,0
g04929,0,0
g04930,20,25
g04931,1,1
g04932,6,12
g04933,32,31
g04934,418,295
g04935,992,908
g04936,316,319
g04937,233,224
g04938,348,289
g04939,91,88
g04940,751,654
g04941,1323,1175
g04942,4318,3855
g04943,3,1
g04944,164,141
g04945,696,704
g04946,345,338
g04947,76,86
g04948,56,52
g04949,1,1
g04950,150,123
g04951,1543,1378
g04952,91,105
g04953,91,66
g04954,8,12
g04955,488,423
g04956,2772,2646
g04957,121,98
g04958,111,79
g04959,1128,1149
g04960,2,1
g04961,58,80
g04962,812,687
g04963,253,212
g04964,1179,1217
g04965,848,765
g04966,212,171
g04967,78,69
g04968,676,684
g04969,2,5
g04970,158,160
g04971,410,440
g04972,210,175
g04973,0,0
g04974,0,0
g04975,2147,1591
g04976,23,22
g04977,179,145
g04978,341,298
g04979,6,10
g04980,10,9
g04981,3,7
g04982,230,261
g04983,554,464
g04984,1403,1262
g04985,573,472
g04986,14,7
g04987,1,1
g04988,151,124
g04989,98,80
g04990,369,315
g04991,184,154
g04992,124,118
g04993,1,1
g04994,180,225
g04995,0,0
g04996,1078,917
g04997,0,1
g04998,4111,4347
g04999,71,88
g05000,5,6
g05001,175,214
g05002,15,5
g05003,1,1
g05004,11,12
g05005,11,7
g05006,6,4
g05007,889,859
g05008,2,2
g05009,475,592
g05010,74,59
g05011,24,18
g05012,4162,2990
g05013,3603,3528
g05014,15,7
g05015,3,3
g05016,1,0
g05017,1121,1040
g05018,31,27
g05019,110,112
g05020,737,701
g05021,10,7
g05022,174,169
g05023,18,22
g05024,4,5
g05025,0,0
g05026,559,535
g05027,6,5
g05028,717,428
g05029,178,96
g05030,0,0
g05031,354,285
g05032,397,464
g05033,735,712
g05034,239,257
g05035,0,0
g05036,581,564
g05037,4,2
g05038,554,548
g05039,993,863
g05040,1167,946
g05041,229,179
g05042,658,276
g05043,487,434
g05044,253,265
g05045,51,37
g05046,657,575
g05047,531,438
g05048,878,869
g05049,465,503
g05050,75,106
g05051,1976,2636
g05052,143,143
g05053,697,711
g05054,834,702
g05055,0,2
g05056,296,306
g05057,2,3
g05058,700,743
g05059,32,19
g05060,442,643
g05061,0,1
g05062,3,5
g05063,5,3
g05064,1064,1136
g05065,1,0
g05066,8,7
g05067,2682,2219
g05068,23,23
g05069,105,128
g05070,2,1
g05071,85,73
g05072,8,5
g05073,25,35
g05074,30,27
g05075,289,287
g05076,41,35
g05077,733,642
g05078,10,7
g05079,301,299
g05080,71,30
g05081,143,100
g05082,560,483
g05083,1361,1357
g05084,1851,2118
g05085,6,5
g05086,0,0
g05087,2,0
g05088,27,32
g05089,553,680
g05090,520,483
g05091,3019,2838
g05092,2135,1947
g05093,545,536
g05094,566,579
g05095,255,248
g05096,138,122
g05097,376,334
g05098,1,3
g05099,1,0
g05100,0,0
g05101,34,50
g05102,132,143
g05103,18,16
g05104,966,922
g05105,49,44
g05106,315,294
g05107,868,751
g05108,41,36
g05109,277,268
g05110,569,506
g05111,38,47
g05112,122,122
g05113,381,428
g05114,57,55
g05115,69,49
g05116,0,2
g05117,125,123
g05118,1,0
g05119,0,2
g05120,1704,1636
g05121,225,188
g05122,430,446
g05123,36,37
g05124,688,663
g05125,190,176
g05126,728,919
g05127,26,33
g05128,54,69
g05129,2128,2196
g05130,23,14
g05131,34,46
g05132,727,629
g05133,310,293
g05134,67,63
g05135,39,38
g05136,1161,1011
g05137,147,177
g05138,604,698
g05139,1177,886
g05140,273,205
g05141,37,32
g05142,217,101
g05143,445,397
g05144,411,424
g05145,809,713
g05146,79,75
g05147,262,225
g05148,0,0
g05149,446,391
g05150,16,23
g05151,781,653
g05152,188,197
g05153,0,0
g05154,375,391
g05155,840,828
g05156,2,1
g05157,1,3
g05158,2,5
g05159,422,456
g05160,383,347
g05161,408,394
g05162,1,4
g05163,11,6
g05164,536,496
g05165,1383,1243
g05166,9,10
g05167,1200,1085
g05168,465,502
g05169,5,1
g05170,167,146
g05171,273,194
g05172,1263,1132
g05173,0,0
g05174,0,0
g05175,0,0
g05176,0,0
g05177,0,0
g05178,0,0
g05179,0,0
g05180,0,0
g05181,0,0
g05182,0,1
g05183,0,0
g05184,0,0
g05185,0,0
g05186,0,0
g05187,0,0
g05188,0,0
g05189,0,0
g05190,0,0
g05191,0,0
g05192,0,0
g05193,0,0
g05194,0,0
g05195,0,0
g05196,0,0
g05197,0,0
g05198,206,132
g05199,6,9
g05200,16,12
g05201,82,64
g05202,196,196
g05203,148,16
g05204,2,1
g05205,569,505
g05206,844,1001
g05207,61,59
g05208,1828,1882
g05209,1060,1071
g05210,108,81
g05211,0,1
g05212,195,230
g05213,317,316
g05214,1,0
g05215,43,49
g05216,867,722
g05217,1731,1583
g05218,531,485
g05219,162,147
g05220,0,2
g05221,827,788
g05222,39,55
g05223,5,7
g05224,0,0
g05225,65,68
g05226,160,145
g05227,18,27
g05228,1606,1356
g05229,404,319
g05230,3,0
g05231,9124,8214
g05232,272,292
g05233,9,5
g05234,311,322
g05235,134,114
g05236,10,19
g05237,41,46
g05238,0,0
g05239,6,3
g05240,608,484
g05241,45,38
g05242,0,2
g05243,1486,1303
g05244,503,410
g05245,1,0
g05246,0,0
g05247,35,31
g05248,430,493
g05249,1375,1355
g05250,133,147
g05251,698,596
g05252,570,367
g05253,1169,930
g05254,3,1
g05255,149,170
g05256,886,827
g05257,777,737
g05258,17,10
g05259,152,146
g05260,0,1
g05261,0,0
g05262,297,256
g05263,236,200
g05264,151,123
g05265,106,88
g05266,993,927
g05267,1349,1170
g05268,0,0
g05269,17,20
g05270,1,4
g05271,0,0
g05272,590,492
g05273,483,347
g05274,1178,1162
g05275,131,104
g05276,31,19
g05277,0,0
g05278,10,18
g05279,4,0
g05280,0,2
g05281,0,0
g05282,0,1
g05283,0,2
g05284,1,1
g05285,0,0
g05286,0,0
g05287,0,0
g05288,0,0
g05289,9,4
g05290,2179,809
g05291,0,1
g05292,0,1
g05293,0,0
g05294,9,17
g05295,7,11
g05296,2,0
g05297,5,9
g05298,194,268
g05299,59,70
g05300,5,70
g05301,0,1
g05302,0,1
g05303,0,1
g05304,7,4
g05305,1,2
g05306,0,0
g05307,1443,1512
g05308,1,5
g05309,289,271
g05310,465,407
g05311,30,15
g05312,1140,939
g05313,207,156
g05314,551,468
g05315,543,459
g05316,0,0
g05317,0,1
g05318,0,0
g05319,0,0
g05320,0,0
g05321,0,0
g05322,0,3
g05323,0,0
g05324,159,138
g05325,92,74
g05326,0,2
g05327,1257,1300
g05328,283,249
g05329,3,2
g05330,2887,2842
g05331,0,0
g05332,552,526
g05333,0,0
g05334,0,0
g05335,0,0
g05336,1,0
g05337,2133,2333
g05338,19,27
g05339,856,726
g05340,177,192
g05341,170,153
g05342,14,7
g05343,26,12
g05344,23,20
g05345,853,783
g05346,104,82
g05347,433,496
g05348,3,0
g05349,129,155
g05350,688,628
g05351,63,47
g05352,34,41
g05353,0,0
g05354,69,60
g05355,692,642
g05356,51,80
g05357,115,138
g05358,0,1
g05359,1088,1043
g05360,0,0
g05361,0,0
g05362,0,0
g05363,0,0
g05364,0,0
g05365,0,0
g05366,0,0
g05367,0,0
g05368,0,0
g05369,0,0
g05370,0,0
g05371,0,0
g05372,0,0
g05373,0,0
g05374,0,0
g05375,0,0
g05376,0,0
g05377,0,0
g05378,0,0
g05379,0,0
g05380,0,1
g05381,0,0
g05382,0,0
g05383,0,0
g05384,0,0
g05385,0,0
g05386,0,0
g05387,0,0
g05388,0,0
g05389,6,5
g05390,3,8
g05391,6,12
g05392,12,5
g05393,20,16
g05394,33,25
g05395,15,18
g05396,8,8
g05397,10,12
g05398,41,33
g05399,55,43
g05400,16,17
g05401,10,10
g05402,6,3
g05403,4,21
g05404,16,8
g05405,11,8
g05406,7,6
g05407,4,8
g05408,11,10
g05409,12,7
g05410,18,15
g05411,16,13
g05412,18,29
g05413,18,26
g05414,28,27
g05415,68,66
g05416,28,33
g05417,1255,1073
g05418,33,36
g05419,2,5
g05420,4,9
g05421,23,25
g05422,11,29
g05423,9,9
g05424,27,24
g05425,28,22
g05426,26,38
g05427,14,9
g05428,0,0
g05429,1,0
g05430,0,0
g05431,5,4
g05432,0,1
g05433,1874,1911
g05434,58,58
g05435,13,15
g05436,10004,9470
g05437,9,25
g05438,35,29
g05439,987,842
g05440,451,370
g05441,33,33
g05442,2,2
g05443,178,205
g05444,13,11
g05445,437,388
g05446,358,408
g05447,214,177
g05448,4,6
g05449,780,865
g05450,706,675
g05451,9,6
g05452,2,0
g05453,1964,1730
g05454,0,0
g05455,32,62
g05456,140,117
g05457,80,100
g05458,2004,1785
g05459,9,11
g05460,23,30
g05461,2067,1807
g05462,1018,771
g05463,315,289
g05464,588,534
g05465,239,211
g05466,1698,1433
g05467,317,317
g05468,387,365
g05469,628,576
g05470,11,15
g05471,631,479
g05472,0,0
g05473,0,0
g05474,341,282
g05475,0,0
g05476,23,20
g05477,1226,1103
g05478,0,0
g05479,0,0
g05480,1,3
g05481,3,3
g05482,317,349
g05483,211,170
g05484,406,382
g05485,2918,2582
g05486,70,65
g05487,2108,1876
g05488,164,140
g05489,473,431
g05490,276,235
g05491,49,33
g05492,923,862
g05493,8,3
g05494,1136,1070
g05495,206,164
g05496,689,618
g05497,314,314
g05498,1061,1181
g05499,6,5
g05500,601,683
g05501,196,228
g05502,600,670
g05503,1718,1466
g05504,221,236
g05505,106,106
g05506,0,0
g05507,1,0
g05508,0,0
g05509,1,0
g05510,0,0
g05511,0,0
g05512,0,0
g05513,14,12
g05514,0,0
g05515,0,0
g05516,0,0
g05517,0,0
g05518,0,0
g05519,0,0
g05520,0,0
g05521,0,0
g05522,0,0
g05523,0,0
g05524,0,0
g05525,0,0
g05526,0,0
g05527,0,0
g05528,0,0
g05529,0,0
g05530,0,0
g05531,0,0
g05532,0,0
g05533,0,0
g05534,0,0
g05535,0,0
g05536,0,0
g05537,0,0
g05538,0,0
g05539,0,0
g05540,0,0
g05541,0,0
g05542,0,0
g05543,0,0
g05544,0,0
g05545,0,0
g05546,0,0
g05547,0,0
g05548,0,0
g05549,0,0
g05550,0,0
g05551,0,0
g05552,0,0
g05553,0,0
g05554,0,0
g05555,0,0
g05556,0,0
g05557,0,0
g05558,0,0
g05559,0,0
g05560,0,0
g05561,0,0
g05562,0,1
g05563,0,0
g05564,0,0
g05565,0,0
g05566,0,0
g05567,0,0
g05568,0,0
g05569,0,0
g05570,0,0
g05571,0,0
g05572,0,0
g05573,0,0
g05574,0,0
g05575,0,0
g05576,0,0
g05577,0,1
g05578,0,0
g05579,0,0
g05580,0,0
g05581,0,0
g05582,0,0
g05583,0,0
g05584,0,0
g05585,0,0
g05586,0,0
g05587,0,0
g05588,0,0
g05589,0,0
g05590,0,0
g05591,0,0
g05592,0,0
g05593,0,0
g05594,0,0
g05595,0,0
g05596,0,0
g05597,0,0
g05598,0,0
g05599,0,0
g05600,0,0
g05601,0,0
g05602,0,0
g05603,0,0
g05604,0,0
g05605,0,0
g05606,0,0
g05607,0,0
g05608,0,0
g05609,0,0
g05610,0,0
g05611,0,0
g05612,0,0
g05613,0,0
g05614,0,0
g05615,0,0
g05616,0,0
g05617,0,0
g05618,0,0
g05619,0,0
g05620,0,0
g05621,0,0
g05622,0,0
g05623,0,0
g05624,0,0
g05625,0,0
g05626,0,0
g05627,0,0
g05628,0,0
g05629,0,0
g05630,0,0
g05631,0,0
g05632,0,0
g05633,0,0
g05634,0,0
g05635,0,0
g05636,0,0
g05637,0,0
g05638,0,0
g05639,0,0
g05640,0,0
g05641,0,0
g05642,0,0
g05643,0,0
g05644,0,0
g05645,0,0
g05646,0,0
g05647,0,0
g05648,0,0
g05649,0,0
g05650,0,0
g05651,0,0
g05652,376,306
g05653,31,36
g05654,302,293
g05655,1600,1470
g05656,92,84
g05657,94,79
g05658,1092,1114
g05659,8,4
g05660,0,1
g05661,0,0
g05662,0,0
g05663,0,0
g05664,369,306
g05665,525,511
g05666,154,170
g05667,258,253
g05668,0,0
g05669,0,2
g05670,2,0
g05671,77,87
g05672,452,371
g05673,2,0
g05674,0,0
g05675,0,0
g05676,8,9
g05677,2,0
g05678,4474,3864
g05679,1281,1382
g05680,230,196
g05681,9799,6597
g05682,34006,21116
g05683,65,47
g05684,2139,2032
g05685,1,0
g05686,0,0
g05687,97,62
g05688,50,25
g05689,3,6
g05690,2,1
g05691,2,1
g05692,0,2
g05693,0,0
g05694,0,0
g05695,0,4
g05696,244,214
g05697,0,1
g05698,0,0
g05699,2061,2068
g05700,1334,1516
g05701,786,801
g05702,0,0
g05703,17,14
g05704,432,423
g05705,58,41
g05706,0,0
g05707,2,0
g05708,992,902
g05709,2108,2166
g05710,0,0
g05711,1389,1337
g05712,2070,1856
g05713,15,21
g05714,0,0
g05715,82,56
g05716,209,244
g05717,537,563
g05718,3,4
g05719,7164,6467
g05720,2,0
g05721,1096,1190
g05722,584,519
g05723,516,528
g05724,46,50
g05725,82,76
g05726,8,11
g05727,0,0
g05728,0,0
g05729,0,0
g05730,0,0
g05731,49,67
g05732,6269,6214
g05733,2651,2649
g05734,1218,1205
g05735,810,804
g05736,544,409
g05737,283,297
g05738,929,828
g05739,26,23
g05740,4,1
g05741,246,230
g05742,1163,1004
g05743,142,174
g05744,9,3
g05745,0,0
g05746,845,907
g05747,0,0
g05748,0,0
g05749,43,40
g05750,4,12
g05751,137,143
g05752,2309,2129
g05753,7,7
g05754,1026,853
g05755,170,160
g05756,0,0
g05757,2,1
g05758,1078,967
g05759,38,31
g05760,0,0
g05761,0,0
g05762,0,0
g05763,2,0
g05764,0,0
g05765,1,1
g05766,0,0
g05767,0,0
g05768,0,0
g05769,0,1
g05770,0,0
g05771,1,0
g05772,0,0
g05773,0,0
g05774,0,1
g05775,158,179
g05776,179,149
g05777,74,90
g05778,1,0
g05779,280,168
g05780,28,17
g05781,1,0
g05782,682,841
g05783,1,2
g05784,35,47
g05785,0,0
g05786,0,0
g05787,0,0
g05788,1100,972
g05789,327,284
g05790,0,1
g05791,0,0
g05792,0,2
g05793,150,178
g05794,539,457
g05795,38,38
g05796,990,901
g05797,33,24
g05798,7,10
g05799,23,19
g05800,1,1
g05801,728,771
g05802,0,0
g05803,0,2
g05804,0,0
g05805,0,0
g05806,0,0
g05807,0,1
g05808,0,0
g05809,0,0
g05810,835,589
g05811,1482,1306
g05812,101,82
g05813,1133,1035
g05814,1373,1400
g05815,1751,1730
g05816,4181,3965
g05817,937,765
g05818,4298,4091
g05819,444,471
g05820,395,305
g05821,37,48
g05822,1,0
g05823,0,1
g05824,1,4
g05825,54,26
g05826,0,0
g05827,0,0
g05828,2,1
g05829,66,55
g05830,3,1
g05831,12,13
g05832,1,6
g05833,451,357
g05834,871,744
g05835,636,212
g05836,295,238
g05837,795,1073
g05838,0,0
g05839,0,0
g05840,0,0
g05841,0,0
g05842,0,1
g05843,0,0
g05844,0,0
g05845,0,0
g05846,0,0
g05847,0,0
g05848,0,0
g05849,0,0
g05850,0,0
g05851,0,0
g05852,0,0
g05853,0,0
g05854,0,0
g05855,0,1
g05856,0,0
g05857,0,0
g05858,0,0
g05859,0,0
g05860,0,0
g05861,0,0
g05862,0,0
g05863,0,0
g05864,0,0
g05865,0,0
g05866,0,0
g05867,0,0
g05868,0,0
g05869,0,0
g05870,0,0
g05871,0,1
g05872,0,0
g05873,0,0
g05874,0,0
g05875,455,424
g05876,333,287
g05877,10,8
g05878,4,7
g05879,7,11
g05880,1,2
g05881,1778,1569
g05882,2858,2895
g05883,1778,1567
g05884,1185,1183
g05885,853,956
g05886,1871,1722
g05887,4620,4684
g05888,3964,3507
g05889,2684,2935
g05890,627,620
g05891,1749,1609
g05892,490,538
g05893,22,18
g05894,610,712
g05895,7919,8447
g05896,731,617
g05897,6620,6500
g05898,486,448
g05899,423,392
g05900,15,14
g05901,2191,3096
g05902,126,87
g05903,4603,4209
g05904,1924,2585
g05905,4,8
g05906,2988,3084
g05907,1791,1837
g05908,1106,1130
g05909,1222,1735
g05910,3099,2310
g05911,1390,1663
g05912,4864,4303
g05913,0,0
g05914,0,1
g05915,1,0
g05916,0,0
g05917,0,2
g05918,10,1
g05919,1,2
g05920,7,1
g05921,631,630
g05922,124,108
g05923,0,0
g05924,5,3
g05925,315,286
g05926,26,22
g05927,1,0
g05928,242,206
g05929,993,1068
g05930,239,214
g05931,327,250
g05932,6,4
g05933,39,46
g05934,488,402
g05935,2588,1970
g05936,249,256
g05937,0,0
g05938,1,6
g05939,0,0
g05940,0,0
g05941,0,0
g05942,1,0
g05943,0,0
g05944,0,0
g05945,0,0
g05946,0,0
g05947,0,0
g05948,0,0
g05949,0,0
g05950,0,0
g05951,0,0
g05952,0,0
g05953,0,0
g05954,0,0
g05955,0,0
g05956,0,1
g05957,0,0
g05958,0,0
g05959,0,0
g05960,0,0
g05961,0,0
g05962,1,0
g05963,0,0
g05964,0,0
g05965,5,0
g05966,215,197
g05967,1500,1422
g05968,4,4
g05969,384,337
g05970,434,419
g05971,228,232
g05972,385,431
g05973,1274,1223
g05974,0,0
g05975,775,613
g05976,54,43
g05977,802,772
g05978,94,94
g05979,7,13
g05980,0,0
g05981,39,43
g05982,0,0
g05983,0,0
g05984,1,0
g05985,52,54
g05986,92,75
g05987,2,0
g05988,174,173
g05989,625,500
g05990,379,261
g05991,1664,1138
g05992,2,0
g05993,35,23
g05994,47,19
g05995,162,175
g05996,27,29
g05997,9,14
g05998,0,0
g05999,0,0
g06000,0,0
g06001,0,0
g06002,0,0
g06003,0,0
g06004,0,1
g06005,1,0
g06006,175,144
g06007,893,737
g06008,16,17
g06009,183,170
g06010,595,543
g06011,146,145
g06012,1756,1002
g06013,3,6
g06014,555,470
g06015,154,130
g06016,252,160
g06017,1168,1075
g06018,445,364
g06019,0,1
g06020,2329,2053
g06021,6,11
g06022,1,1
g06023,4,1
g06024,556,516
g06025,1,0
g06026,1845,983
g06027,567,475
g06028,116,91
g06029,4,7
g06030,140,134
g06031,2,2
g06032,383,334
g06033,465,382
g06034,2222,2115
g06035,35,43
g06036,3,3
g06037,846,1000
g06038,2960,3056
g06039,706,769
g06040,20,10
g06041,638,545
g06042,33795,36377
g06043,443,375
g06044,53,52
g06045,3951,3931
g06046,205,201
g06047,292,248
g06048,164,170
g06049,6,1
g06050,1,1
g06051,193,265
g06052,261,232
g06053,0,0
g06054,14,9
g06055,521,513
g06056,640,544
g06057,2,6
g06058,0,0
g06059,0,0
g06060,8,7
g06061,383,383
g06062,894,930
g06063,657,585
g06064,17,14
g06065,753,619
g06066,6,6
g06067,672,795
g06068,68,63
g06069,52,60
g06070,161,205
g06071,249,241
g06072,73,98
g06073,549,417
g06074,595,544
g06075,331,305
g06076,9,10
g06077,0,1
g06078,16,21
g06079,0,0
g06080,2,0
g06081,0,0
g06082,919,897
g06083,359,331
g06084,705,604
g06085,356,367
g06086,807,718
g06087,23,26
g06088,1,2
g06089,13,16
g06090,461,417
g06091,874,668
g06092,492,446
g06093,1943,1864
g06094,1306,1259
g06095,0,3
g06096,49,56
g06097,90,81
g06098,746,627
g06099,1937,1576
g06100,367,379
g06101,7,12
g06102,0,0
g06103,0,0
g06104,114,73
g06105,568,393
g06106,0,2
g06107,321,289
g06108,8,9
g06109,0,1
g06110,0,1
g06111,2,0
g06112,200,183
g06113,3,2
g06114,730,797
g06115,3629,3771
g06116,125,87
g06117,273,339
g06118,186,208
g06119,246,237
g06120,13,9
g06121,39,51
g06122,2798,2208
g06123,317,337
g06124,110,84
g06125,127,137
g06126,2356,1932
g06127,26,27
g06128,1122,1001
g06129,431,399
g06130,2079,1977
g06131,0,0
g06132,0,1
g06133,0,0
g06134,0,3
g06135,0,1
g06136,0,1
g06137,0,0
g06138,0,0
g06139,188,166
g06140,0,0
g06141,0,0
g06142,0,0
g06143,0,0
g06144,1,0
g06145,0,0
g06146,0,0
g06147,0,2
g06148,17,24
g06149,906,895
g06150,296,317
g06151,2,1
g06152,17,20
g06153,1082,1143
g06154,11,11
g06155,98,96
g06156,453,450
g06157,196,168
g06158,9,6
g06159,368,351
g06160,1,0
g06161,5,10
g06162,0,0
g06163,215,168
g06164,2,0
g06165,221,179
g06166,288,248
g06167,375,308
g06168,272,217
g06169,1402,1198
g06170,4,6
g06171,32,46
g06172,2,2
g06173,529,626
g06174,0,1
g06175,259,253
g06176,654,654
g06177,251,233
g06178,368,419
g06179,1039,1029
g06180,33,19
g06181,149,128
g06182,456,432
g06183,376,425
g06184,2464,1618
g06185,1257,1217
g06186,610,704
g06187,1,3
g06188,56,73
g06189,2,0
g06190,0,0
g06191,80,74
g06192,39,52
g06193,63,43
g06194,504,453
g06195,141,130
g06196,308,313
g06197,147,162
g06198,5465,5546
g06199,1188,1036
g06200,1799,1931
g06201,509,433
g06202,2830,2797
g06203,21,24
g06204,2,1
g06205,1,0
g06206,2,0
g06207,845,834
g06208,38,28
g06209,1176,1163
g06210,811,766
g06211,86,68
g06212,609,692
g06213,730,745
g06214,578,668
g06215,1614,1758
g06216,200,225
g06217,439,309
g06218,1891,1762
g06219,1752,1639
g06220,433,386
g06221,82,55
g06222,3,1
g06223,29,23
g06224,2383,2193
g06225,56,45
g06226,0,0
g06227,3036,3194
g06228,10,4
g06229,3,1
g06230,78,79
g06231,0,0
g06232,5,8
g06233,2,0
g06234,612,567
g06235,2228,2226
g06236,5,3
g06237,1,6
g06238,82,65
g06239,2,1
g06240,2798,2095
g06241,130,130
g06242,2891,2649
g06243,2,1
g06244,114,124
g06245,22,26
g06246,572,478
g06247,194,154
g06248,3077,2859
g06249,15,6
g06250,720,670
g06251,266,186
g06252,0,1
g06253,84,67
g06254,731,685
g06255,3,1
g06256,461,369
g06257,645,656
g06258,0,0
g06259,0,0
g06260,2,0
g06261,1,2
g06262,1,0
g06263,81,75
g06264,246,223
g06265,186,133
g06266,1511,1325
g06267,2,9
g06268,2,2
g06269,3718,3552
g06270,84,79
g06271,802,803
g06272,0,0
g06273,7,8
g06274,5,3
g06275,43,49
g06276,0,0
g06277,217,146
g06278,0,0
g06279,0,0
g06280,9,12
g06281,4,0
g06282,0,0
g06283,0,0
g06284,0,1
g06285,0,0
g06286,0,0
g06287,0,0
g06288,0,0
g06289,0,0
g06290,0,0
g06291,0,0
g06292,0,0
g06293,0,0
g06294,48,47
g06295,3,1
g06296,41,37
g06297,0,0
g06298,130,107
g06299,29,22
g06300,4,6
g06301,89,81
g06302,62,47
g06303,23,27
g06304,0,0
g06305,76,72
g06306,74,57
g06307,12,11
g06308,618,561
g06309,414,395
g06310,3,5
g06311,365,352
g06312,11,12
g06313,3,8
g06314,3,6
g06315,309,272
g06316,2300,2073
g06317,478,439
g06318,2,3
g06319,91,70
g06320,468,361
g06321,219,170
g06322,395,307
g06323,49,40
g06324,270,220
g06325,2044,1405
g06326,95,87
g06327,1,0
g06328,5,1
g06329,0,0
g06330,0,0
g06331,2,1
g06332,3409,2777
g06333,0,0
g06334,0,1
g06335,0,1
g06336,0,0
g06337,1,2
g06338,348,413
g06339,0,0
g06340,0,0
g06341,0,0
g06342,0,1
g06343,0,1
g06344,0,0
g06345,0,0
g06346,0,0
g06347,0,0
g06348,1,0
g06349,420,316
g06350,6,9
g06351,248,223
g06352,1496,1234
g06353,80,78
g06354,101,94
g06355,113,86
g06356,46,37
g06357,69,63
g06358,48,45
g06359,9,15
g06360,38,56
g06361,0,1
g06362,0,2
g06363,116,109
g06364,79,74
g06365,28,27
g06366,49,38
g06367,28,27
g06368,77,56
g06369,36,40
g06370,157,139
g06371,157,182
g06372,351,355
g06373,227,212
