,wt_E14.5_f4,wt_E14.5_f5
g00943,1076,1388
g00944,190,295
g00945,374,505
g00946,49,86
g00947,0,3
g00948,5,4
g00949,0,0
g00950,13,13
g00951,121,212
g00952,0,0
g00953,0,1
g00954,0,0
g00955,151,176
g00956,0,3
g00957,19,15
g00958,3,3
g00959,0,0
g00960,1,1
g00961,0,1
g00962,516,628
g00963,2846,4749
g00964,53,71
g00965,2128,2919
g00966,4,4
g00967,0,0
g00968,3100,3941
g00969,253,315
g00970,364,494
g00971,1444,1578
g00972,1,0
g00973,452,692
g00974,1750,2254
g00975,1370,1457
g00976,154,182
g00977,271,294
g00978,837,944
g00979,13,17
g00980,2,4
g00981,1011,1198
g00982,538,695
g00983,54,60
g00984,1642,2105
g00985,930,1337
g00986,137,208
g00987,2890,3548
g00988,1,3
g00989,14,18
g00990,1494,1971
g00991,130,187
g00992,220,244
g00993,7,9
g00994,272,332
g00995,415,664
g00996,8,3
g00997,4,1
g00998,1,0
g00999,0,2
g01000,1849,2333
g01001,371,446
g01002,33,50
g01003,0,0
g01004,843,1163
g01005,409,382
g01006,63,103
g01007,1229,1311
g01008,406,537
g01009,17,17
g01010,1506,2093
g01011,1,4
g01012,545,637
g01013,17,28
g01014,79,126
g01015,538,685
g01016,2279,3095
g01017,493,588
g01018,1749,2055
g01019,53,61
g01020,7,7
g01021,0,5
g01022,2,4
g01023,654,737
g01024,1022,1202
g01025,60,67
g01026,154,208
g01027,1273,1498
g01028,1552,1788
g01029,1457,1804
g01030,1,0
g01031,1130,1579
g01032,340,358
g01033,79,89
g01034,250,388
g01035,0,0
g01036,138,216
g01037,1001,1454
g01038,0,4
g01039,1169,898
g01040,1,0
g01041,314,391
g01042,15,10
g01043,52,124
g01044,108,141
g01045,22,39
g01046,836,799
g01047,209,225
g01048,811,965
g01049,827,1195
g01050,3,5
g01051,22,35
g01052,0,0
g01053,1203,1761
g01054,32,31
g01055,325,432
g01056,2926,3151
g01057,37,24
g01058,10,19
g01059,221,281
g01060,51,79
g01061,437,565
g01062,93,114
g01063,7,5
g01064,1003,1144
g01065,1,1
g01066,5,3
g01067,1,4
g01068,982,1240
g01069,0,2
g01070,253,337
g01071,364,583
g01072,21,25
g01073,2150,2995
g01074,5,10
g01075,21,31
g01076,304,322
g01077,291,371
g01078,3,7
g01079,0,0
g01080,4687,6510
g01081,7,4
g01082,352,440
g01083,45,50
g01084,2,3
g01085,1,2
g01086,3,2
g01087,2166,2019
g01088,250,284
g01089,1,1
g01090,1485,2100
g01091,369,438
g01092,303,369
g01093,45,57
g01094,5,1
g01095,2,0
g01096,0,0
g01097,0,1
g01098,9,11
g01099,197,219
g01100,115,138
g01101,315,448
g01102,290,337
g01103,408,734
g01104,711,941
g01105,0,3
g01106,0,0
g01107,0,0
g01108,0,0
g01109,0,0
g01110,536,667
g01111,424,548
g01112,274,336
g01113,630,821
g01114,358,425
g01115,10,15
g01116,470,580
g01117,23,27
g01118,237,369
g01119,0,1
g01120,229,254
g01121,138,218
g01122,785,1109
g01123,393,499
g01124,1,0
g01125,2,1
g01126,231,241
g01127,60,104
g01128,467,647
g01129,1736,2126
g01130,0,0
g01131,0,1
g01132,0,0
g01133,5,11
g01134,125,207
g01135,779,923
g01136,675,780
g01137,86,120
g01138,239,287
g01139,445,611
g01140,1,0
g01141,0,0
g01142,251,384
g01143,28,32
g01144,1113,1561
g01145,378,411
g01146,259,414
g01147,177,290
g01148,492,780
g01149,23,36
g01150,444,479
g01151,28,19
g01152,2878,3344
g01153,669,778
g01154,263,371
g01155,0,0
g01156,4,6
g01157,0,2
g01158,47,76
g01159,3,7
g01160,47,68
g01161,534,727
g01162,728,911
g01163,298,354
g01164,2,4
g01165,0,0
g01166,16,14
g01167,5,11
g01168,128,159
g01169,9,21
g01170,1456,1787
g01171,171,246
g01172,39,67
g01173,19,27
g01174,343,410
g01175,9,4
g01176,167,238
g01177,1916,2155
g01178,219,264
g01179,459,543
g01180,317,407
g01181,576,747
g01182,475,658
g01183,231,303
g01184,13,21
g01185,430,545
g01186,329,417
g01187,101,199
g01188,39,81
g01189,221,170
g01190,83,112
g01191,566,656
g01192,9,7
g01193,231,287
g01194,111,133
g01195,0,0
g01196,1,2
g01197,8,6
g01198,0,2
g01199,11,11
g01200,0,0
g01201,1,2
g01202,26,33
g01203,1,2
g01204,1,0
g01205,3,0
g01206,422,525
g01207,64,106
g01208,828,1275
g01209,7015,8615
g01210,1348,1674
g01211,1365,1732
g01212,2051,2307
g01213,1613,2173
g01214,205,346
g01215,2,1
g01216,1181,1783
g01217,652,665
g01218,17,24
g01219,19,46
g01220,627,759
g01221,476,642
g01222,7,0
g01223,452,546
g01224,1096,1384
g01225,7,14
g01226,4,12
g01227,3,4
g01228,3,1
g01229,3,2
g01230,54,95
g01231,1,0
g01232,2,3
g01233,0,0
g01234,0,0
g01235,0,0
g01236,0,0
g01237,0,0
g01238,0,0
g01239,0,0
g01240,0,0
g01241,0,0
g01242,49,87
g01243,1143,1595
g01244,29,42
g01245,0,2
g01246,0,0
g01247,0,1
g01248,3,0
g01249,1,1
g01250,0,0
g01251,30,53
g01252,18,19
g01253,2,4
g01254,0,3
g01255,13,8
g01256,3,2
g01257,10,8
g01258,5,40
g01259,1,0
g01260,0,0
g01261,0,0
g01262,0,0
g01263,0,0
g01264,0,0
g01265,0,0
