,het_NB_f4,het_NB_f5
g00540,2996,2079
g00541,136,266
g00542,0,0
g00543,2,0
g00544,0,0
g00545,1,1
g00546,1727,1307
g00547,28,29
g00548,16,28
g00549,0,0
g00550,3,4
g00551,0,0
g00552,2571,2463
g00553,2,4
g00554,2,0
g00555,5,3
g00556,1,0
g00557,1,1
g00558,717,722
g00559,14,21
g00560,125,91
g00561,0,5
g00562,395,339
g00563,0,0
g00564,0,0
g00565,0,0
g00566,4,3
g00567,0,0
g00568,5,1
g00569,0,1
g00570,658,547
g00571,8,3
g00572,902,785
g00573,33,33
g00574,6,4
g00575,299,352
g00576,5,11
g00577,0,2
g00578,65,82
g00579,37,59
g00580,333,265
g00581,47,79
g00582,2,3
g00583,3,10
g00584,105,172
g00585,305,289
g00586,699,570
g00587,699,570
g00588,884,747
g00589,712,610
g00590,756,642
g00591,723,607
g00592,711,581
g00593,55,54
g00594,1068,740
g00595,134,137
g00596,1359,1277
g00597,1045,973
g00598,6,4
g00599,0,0
g00600,0,0
g00601,1,2
g00602,477,553
g00603,0,1
g00604,0,0
g00605,108,200
g00606,0,0
g00607,467,637
g00608,32,41
g00609,3,0
g00610,0,0
g00611,0,1
g00612,41,70
g00613,365,400
g00614,0,0
g00615,260,3289
g00616,11,8
g00617,0,0
g00618,0,0
g00619,2500,1293
g00620,2,0
g00621,3,25
g00622,346,174
g00623,14,7
g00624,31,47
g00625,6,2
g00626,3,0
g00627,5,6
g00628,27,33
g00629,186,200
g00630,0,0
g00631,32,40
g00632,102,316
g00633,17,19
g00634,12,28
g00635,19,165
g00636,429,551
g00637,782,633
g00638,0,0
g00639,0,0
g00640,0,0
g00641,0,0
g00642,0,0
g00643,0,0
g00644,0,0
g00645,0,0
g00646,288,218
g00647,0,0
g00648,747,830
g00649,129,135
g00650,1,0
g00651,3,1
g00652,79,53
g00653,1293,1194
g00654,69,59
g00655,512,233
g00656,96,140
g00657,0,0
g00658,12,34
g00659,23,10
g00660,1505,822
g00661,23,22
g00662,416,304
g00663,212,168
g00664,64,66
g00665,308,355
g00666,944,1696
g00667,2954,3183
g00668,676,869
g00669,127,157
g00670,278,291
g00671,727,549
g00672,676,506
g00673,489,421
g00674,24,60
g00675,189,172
g00676,91,88
g00677,0,0
g00678,0,0
g00679,0,0
g00680,0,0
g00681,0,0
g00682,0,0
g00683,0,0
g00684,143,120
g00685,17,26
g00686,0,0
g00687,0,0
g00688,0,0
g00689,0,0
g00690,0,0
g00691,0,0
g00692,0,0
g00693,0,0
g00694,0,0
g00695,0,0
g00696,63,44
g00697,532,581
g00698,14,16
g00699,741,491
g00700,10,15
g00701,0,0
g00702,0,0
g00703,0,1
g00704,0,0
g00705,0,0
g00706,1,0
g00707,33,74
g00708,5,10
g00709,482,449
g00710,1359,1086
g00711,1,0
g00712,16,60
g00713,10,11
g00714,1077,807
g00715,2,1
g00716,577,517
g00717,63,153
g00718,4,18
g00719,902,624
g00720,1325,1075
g00721,9247,5673
g00722,8398,6217
g00723,21,8
g00724,2753,3413
g00725,42,35
g00726,643,760
g00727,748,1578
g00728,276,45
g00729,4146,2097
g00730,3506,3004
g00731,78,63
g00732,3617,1634
g00733,3,8
g00734,1,1
g00735,338,337
g00736,0,0
