,het_NB_f4,het_NB_f5
g12601,205,219
g12602,54,96
g12603,0,0
g12604,39,37
g12605,3,2
g12606,1,3
g12607,1,1
g12608,6,11
g12609,0,0
g12610,1,0
g12611,17,21
g12612,251,153
g12613,0,0
g12614,0,0
g12615,329,568
g12616,119,201
g12617,6,8
g12618,4,1
g12619,20,17
g12620,0,1
g12621,0,0
g12622,0,0
g12623,0,0
g12624,1,2
g12625,0,0
g12626,5,4
g12627,34,58
g12628,2151,1499
g12629,758,420
g12630,41,48
g12631,1406,1407
g12632,1,0
g12633,0,2
g12634,170,139
g12635,0,0
g12636,21,11
g12637,0,0
g12638,1180,270
g12639,1795,644
g12640,575,242
g12641,12474,4361
g12642,72,21
g12643,1997,1518
g12644,2084,1524
g12645,17,25
g12646,0,0
g12647,1,4
g12648,588,495
g12649,298,231
g12650,110,82
g12651,54,72
g12652,132,126
g12653,95,119
g12654,4,2
g12655,125,192
g12656,0,0
g12657,0,0
g12658,1093,1012
g12659,112,73
g12660,626,636
g12661,2,1
g12662,40,28
g12663,1959,1808
g12664,91,20
g12665,572,201
g12666,5964,3214
g12667,953,676
g12668,1267,903
g12669,112,122
g12670,284,199
g12671,234,215
g12672,554,471
g12673,0,1
g12674,0,0
g12675,7,7
g12676,1,3
g12677,3,7
g12678,420,335
g12679,102,118
g12680,18,23
g12681,12,19
g12682,44,88
g12683,14,22
g12684,1,0
g12685,472,465
g12686,0,0
g12687,6031,4371
g12688,328,218
g12689,40,46
g12690,55,72
g12691,0,1
g12692,4,4
g12693,453,481
g12694,108,71
g12695,447,414
g12696,69,52
g12697,112,116
g12698,11,6
g12699,676,793
g12700,13,5
g12701,76,85
g12702,3,5
g12703,0,0
g12704,0,0
g12705,0,0
g12706,0,0
g12707,1,0
g12708,38,42
g12709,0,0
g12710,0,0
g12711,0,0
g12712,0,0
g12713,0,0
g12714,0,0
g12715,0,0
g12716,5,4
g12717,857,559
g12718,270,189
g12719,104,109
g12720,653,629
g12721,0,0
g12722,1,0
g12723,238,181
g12724,84,103
g12725,53,66
g12726,3084,1394
g12727,345,293
g12728,20,12
g12729,186,224
g12730,544,426
g12731,654,646
g12732,263,258
g12733,3026,3045
g12734,82,91
g12735,1406,1612
g12736,14,73
g12737,0,1
g12738,37,45
g12739,38,99
g12740,77,125
g12741,11,16
g12742,17,27
g12743,1,2
g12744,0,0
g12745,0,0
g12746,2,1
g12747,218,179
g12748,572,359
g12749,739,584
g12750,184,140
g12751,187,135
g12752,972,980
g12753,10,10
g12754,286,167
g12755,7,4
g12756,46,70
g12757,24,37
g12758,2,2
g12759,0,4
g12760,0,3
g12761,0,0
g12762,1,0
g12763,5,17
g12764,14,34
g12765,1,5
g12766,383,353
g12767,223,274
g12768,5130,4589
g12769,157,1449
g12770,10,70
g12771,0,0
g12772,0,0
g12773,0,0
g12774,11,51
g12775,12,21
g12776,7,7
g12777,183,199
g12778,2,5
g12779,3299,2541
g12780,2,5
g12781,123,131
g12782,0,0
g12783,212,236
g12784,1,2
g12785,1,1
g12786,0,0
g12787,198,187
g12788,100,76
g12789,1,4
g12790,0,0
g12791,87,86
g12792,652,511
g12793,4,5
g12794,4,3
g12795,91,90
g12796,713,708
g12797,1,1
g12798,180,111
g12799,173,155
g12800,4648,2951
g12801,204,144
g12802,3,3
g12803,3,2
g12804,30,43
g12805,785,658
g12806,287,217
g12807,7163,6228
g12808,36,40
g12809,329,404
g12810,30,32
g12811,15,16
g12812,349,343
g12813,376,264
g12814,81,65
g12815,149,144
g12816,619,302
g12817,4,3
g12818,768,702
g12819,8,6
g12820,117,142
g12821,565,620
g12822,1151,897
g12823,1466,680
g12824,550,512
g12825,175,197
g12826,3,2
g12827,748,699
g12828,44,33
g12829,2,4
g12830,0,2
g12831,1,1
g12832,0,0
g12833,19,29
g12834,107,145
g12835,320,240
g12836,4,26
g12837,1367,749
g12838,497,369
g12839,192,164
g12840,128,158
g12841,915,776
g12842,1073,950
g12843,17,18
g12844,1122,904
g12845,410,346
g12846,2,50
g12847,31,46
g12848,8,10
g12849,485,464
g12850,0,0
g12851,0,0
g12852,77,101
g12853,450,525
g12854,6,6
g12855,1,0
g12856,46,215
g12857,6638,2809
g12858,2058,1164
g12859,131,59
g12860,5,20
g12861,9,8
g12862,1458,1734
g12863,49,64
g12864,64,34
g12865,639,647
g12866,3479,2413
g12867,16,56
g12868,0,0
g12869,233,276
g12870,1656,1172
g12871,2,1
g12872,90,81
g12873,913,674
g12874,191,123
g12875,1142,806
g12876,171,187
g12877,1,43
g12878,10,19
g12879,3,16
g12880,15,52
g12881,2,73
g12882,0,0
g12883,41,73
g12884,253,268
g12885,5,7
g12886,3,4
g12887,10,14
g12888,0,0
g12889,271,231
g12890,34,58
g12891,274,226
g12892,175,132
g12893,40,59
g12894,12776,7123
g12895,303,210
g12896,42,48
g12897,12,14
g12898,99,89
g12899,4,11
g12900,13,11
g12901,94,194
g12902,474,406
g12903,1205,932
g12904,17,13
g12905,24,19
g12906,35,64
g12907,2,10
g12908,0,1
g12909,55,57
g12910,5,5
g12911,445,441
g12912,2056,1556
g12913,4485,1805
g12914,159,90
g12915,607,501
g12916,269,279
g12917,0,0
g12918,4,14
g12919,0,5
g12920,0,0
g12921,6,5
g12922,379,362
g12923,1120,1123
g12924,0,0
g12925,19697,10039
g12926,128,212
g12927,0,0
g12928,0,0
g12929,174,167
g12930,0,0
g12931,1481,1056
g12932,45,33
g12933,0,0
g12934,0,7
g12935,150,147
g12936,187,162
g12937,0,0
g12938,1,8
g12939,351,379
g12940,301,274
g12941,1,0
g12942,2,4
g12943,3923,2571
g12944,0,0
g12945,0,0
g12946,0,0
g12947,0,0
g12948,0,0
g12949,0,0
g12950,0,0
g12951,0,0
g12952,0,0
g12953,0,0
g12954,0,0
g12955,0,0
g12956,0,0
g12957,0,0
g12958,0,0
g12959,0,0
g12960,0,0
g12961,0,0
g12962,0,0
g12963,0,0
g12964,0,0
g12965,0,0
g12966,0,0
g12967,0,0
g12968,0,0
g12969,0,0
g12970,0,0
g12971,0,0
g12972,0,0
g12973,518,350
g12974,1206,816
g12975,0,1
g12976,197,181
g12977,31,32
g12978,1948,1436
g12979,112,107
g12980,510,576
g12981,3,11
g12982,85,148
g12983,32,176
g12984,20,69
g12985,908,732
g12986,0,0
g12987,138,166
g12988,2,3
g12989,0,0
g12990,4,40
g12991,3,2
g12992,541,392
g12993,758,512
g12994,1528,996
g12995,260,259
g12996,17,19
g12997,372,269
g12998,0,0
g12999,1,0
g13000,5,5
g13001,1,0
g13002,89,60
g13003,61,429
g13004,0,10
g13005,6,31
g13006,0,0
g13007,0,0
g13008,1039,926
g13009,262,254
g13010,373,261
g13011,446,447
g13012,11,6
g13013,574,356
g13014,35,32
g13015,370,344
g13016,2,3
g13017,2,0
g13018,434,365
g13019,0,0
g13020,0,0
g13021,0,0
g13022,10,18
g13023,2,11
g13024,0,24
g13025,441,526
g13026,201,380
g13027,0,0
g13028,1717,1528
g13029,28,42
g13030,0,0
g13031,830,532
g13032,40,128
g13033,922,819
g13034,123,81
g13035,1,2
g13036,0,1
g13037,0,1
g13038,7,8
g13039,1,0
g13040,0,0
g13041,2,3
g13042,53,69
g13043,1,4
g13044,0,0
g13045,11,22
g13046,0,0
g13047,4,9
g13048,0,0
g13049,0,0
g13050,75,93
g13051,0,0
g13052,3,0
g13053,308,434
g13054,0,0
g13055,2468,1792
g13056,0,1
g13057,3535,3040
g13058,134,121
g13059,765,938
g13060,15,15
g13061,145,67
g13062,3000,1929
g13063,6,23
g13064,0,0
g13065,0,0
g13066,1,18
g13067,73,156
g13068,2329,1787
g13069,0,1
g13070,581,335
g13071,657,465
g13072,1,0
g13073,3,4
g13074,665,831
g13075,0,0
g13076,2,27
g13077,64,102
g13078,15,43
g13079,4,3
g13080,4,6
g13081,0,0
g13082,2,9
g13083,112,119
g13084,0,0
g13085,4,9
g13086,1,2
g13087,1,0
g13088,227,365
g13089,31,17
g13090,0,1
g13091,0,0
g13092,0,1
g13093,0,15
g13094,0,0
g13095,2,10
g13096,0,3
g13097,39,95
g13098,1,0
g13099,0,2
g13100,119,245
g13101,2,2
g13102,12,38
g13103,0,0
g13104,6,1
g13105,92,8
g13106,0,1
g13107,16,10
g13108,9,23
g13109,22,21
g13110,320,326
g13111,7,7
g13112,1,0
g13113,173,97
g13114,23,70
g13115,1077,1014
g13116,111,92
g13117,1672,1591
g13118,0,3
g13119,1,8
g13120,0,0
g13121,0,1
g13122,1,1
g13123,751,676
g13124,740,740
g13125,70,56
g13126,198,165
g13127,6,14
g13128,976,876
g13129,218,171
g13130,193,140
g13131,42,30
g13132,64,72
g13133,16,17
g13134,0,7
g13135,1,1
g13136,3,5
g13137,3,9
g13138,531,483
g13139,675,1178
g13140,860,366
g13141,157,67
g13142,1398,1606
g13143,26,65
g13144,0,2
g13145,0,0
g13146,0,0
g13147,760,755
g13148,51,66
g13149,7062,5913
g13150,531,412
g13151,0,0
g13152,26,44
g13153,53,50
g13154,98,118
g13155,5,26
g13156,3,6
g13157,7,3
g13158,5,5
g13159,11,15
g13160,148,180
g13161,4,0
g13162,361,396
g13163,0,0
g13164,294,244
g13165,0,0
g13166,0,0
g13167,0,0
g13168,0,0
g13169,0,4
g13170,16,29
g13171,149,174
g13172,8,15
g13173,33,48
g13174,41,94
g13175,0,1
g13176,1,1
g13177,0,1
g13178,396,419
g13179,0,1
g13180,0,0
g13181,0,0
g13182,0,0
g13183,89,117
g13184,255,132
g13185,5,1
g13186,0,2
g13187,114,248
g13188,56,42
g13189,0,0
g13190,17,9
g13191,0,0
g13192,0,0
g13193,212,212
g13194,5,3
g13195,132,153
g13196,0,0
g13197,4,15
g13198,54,57
g13199,1135,2185
g13200,13,30
g13201,23,67
g13202,15,53
g13203,0,0
g13204,189,226
g13205,0,0
g13206,0,0
g13207,0,0
g13208,265,274
g13209,15,104
g13210,0,2
g13211,0,0
g13212,0,0
g13213,8172,6641
g13214,8,4
g13215,0,1
g13216,0,0
g13217,140,202
g13218,0,1
g13219,1,15
g13220,3167,2437
g13221,10,20
g13222,0,0
g13223,23,18
g13224,0,0
g13225,0,0
g13226,881,603
g13227,347,470
g13228,0,7
g13229,0,0
g13230,7,34
g13231,8,29
g13232,2,1
g13233,207,136
g13234,3063,3113
g13235,5,10
g13236,135,197
g13237,25,42
g13238,188,210
g13239,3132,2509
g13240,48,33
g13241,8,5
g13242,0,0
g13243,1,3
g13244,4,26
g13245,7,7
g13246,2,3
g13247,65,64
g13248,29,68
g13249,0,0
g13250,15,27
g13251,8,6
g13252,0,2
g13253,29,43
g13254,5,4
g13255,1106,1170
g13256,4929,4370
g13257,12,18
g13258,9,84
g13259,2,1
g13260,0,0
g13261,0,0
g13262,0,0
g13263,0,0
g13264,0,0
g13265,0,0
g13266,1645,1906
g13267,0,0
g13268,0,1
g13269,0,0
g13270,0,0
g13271,0,0
g13272,0,0
g13273,1,0
g13274,0,0
g13275,0,0
g13276,0,0
g13277,0,0
g13278,0,0
g13279,0,0
g13280,0,0
g13281,0,0
g13282,0,0
g13283,0,0
g13284,0,0
g13285,0,0
g13286,0,0
g13287,0,0
g13288,0,0
g13289,0,0
g13290,0,0
g13291,0,0
g13292,0,0
g13293,0,1
g13294,0,0
g13295,0,0
g13296,0,0
g13297,0,0
g13298,0,0
g13299,0,0
g13300,0,0
g13301,0,0
g13302,0,0
g13303,0,0
g13304,0,0
g13305,0,0
g13306,0,0
g13307,0,0
g13308,0,0
g13309,0,0
g13310,0,0
g13311,0,0
g13312,0,0
g13313,0,0
g13314,0,0
g13315,0,0
g13316,0,0
g13317,0,0
g13318,0,0
g13319,0,0
g13320,0,0
g13321,0,0
g13322,0,0
g13323,0,0
g13324,0,0
g13325,0,0
g13326,0,0
g13327,0,0
g13328,0,0
g13329,0,0
g13330,0,0
g13331,0,0
g13332,0,0
g13333,0,0
g13334,0,0
g13335,0,0
g13336,0,0
g13337,0,0
g13338,0,0
g13339,0,0
g13340,0,0
g13341,0,0
g13342,0,0
g13343,0,0
g13344,0,0
g13345,0,0
g13346,0,0
g13347,0,0
g13348,0,0
g13349,0,0
g13350,0,0
g13351,0,0
g13352,0,0
g13353,0,0
g13354,0,0
g13355,0,0
g13356,0,0
g13357,0,0
g13358,0,0
g13359,0,0
g13360,0,0
g13361,0,0
g13362,0,0
g13363,0,0
g13364,0,0
g13365,0,0
g13366,0,0
g13367,0,0
g13368,0,0
g13369,0,0
g13370,0,0
g13371,0,0
g13372,0,0
g13373,0,0
g13374,0,0
g13375,0,0
g13376,0,0
g13377,0,0
g13378,0,0
g13379,0,0
g13380,0,0
g13381,0,0
g13382,0,0
g13383,0,0
g13384,0,0
g13385,0,0
g13386,0,0
g13387,0,0
g13388,0,0
g13389,0,0
g13390,0,0
g13391,0,0
g13392,0,0
g13393,0,0
g13394,0,0
g13395,0,0
g13396,0,0
g13397,0,0
g13398,0,0
g13399,0,0
g13400,0,0
g13401,0,0
g13402,0,0
g13403,0,0
g13404,0,0
g13405,0,0
g13406,0,0
g13407,0,0
g13408,0,0
g13409,0,0
g13410,0,0
g13411,0,0
g13412,0,0
g13413,0,0
g13414,0,0
g13415,0,0
g13416,0,0
g13417,0,0
g13418,0,0
g13419,0,0
g13420,0,0
g13421,0,0
g13422,0,0
g13423,0,0
g13424,0,0
g13425,0,0
g13426,0,0
g13427,0,0
g13428,0,0
g13429,0,0
g13430,0,0
g13431,0,0
g13432,0,0
g13433,0,0
g13434,0,0
g13435,0,0
g13436,0,0
g13437,0,0
g13438,0,0
g13439,0,0
g13440,0,0
g13441,0,0
g13442,0,0
g13443,0,0
g13444,0,0
g13445,0,0
g13446,0,0
g13447,0,0
g13448,0,0
g13449,0,0
g13450,0,0
g13451,0,0
g13452,0,0
g13453,1,0
g13454,0,0
g13455,0,0
g13456,0,0
g13457,0,0
g13458,0,0
g13459,0,0
g13460,0,0
g13461,0,0
g13462,0,0
g13463,0,0
g13464,0,0
g13465,0,0
g13466,0,0
g13467,0,0
g13468,0,0
g13469,0,0
g13470,0,0
g13471,0,0
g13472,0,0
g13473,0,0
g13474,0,0
g13475,0,0
g13476,0,0
g13477,0,0
g13478,0,0
g13479,0,0
g13480,0,0
g13481,0,0
g13482,0,0
g13483,0,0
g13484,0,0
g13485,0,0
g13486,0,0
g13487,0,0
g13488,0,0
g13489,0,0
g13490,39,65
g13491,154,176
g13492,939,944
g13493,3,1
g13494,772,610
g13495,145,135
g13496,276,227
g13497,517,339
g13498,239,199
g13499,439,626
g13500,1,1
g13501,2,10
g13502,1568,1078
g13503,20,59
g13504,3,0
g13505,13,15
g13506,13,5
g13507,709,467
g13508,1,7
g13509,74,93
g13510,57,46
g13511,1,4
g13512,0,1
g13513,775,405
g13514,751,764
g13515,90,129
g13516,2632,2094
g13517,5,1
g13518,1871,1280
g13519,3,1
g13520,6,1
g13521,303,269
g13522,412,279
g13523,1367,988
g13524,1135,845
g13525,108,66
g13526,1350,946
g13527,26,28
g13528,8,47
g13529,345,332
g13530,229,204
g13531,439,421
g13532,2,1
g13533,55,80
g13534,414,328
g13535,16,12
g13536,57,76
g13537,727,1186
g13538,81,140
g13539,63,88
g13540,1,0
g13541,1,19
g13542,26,26
g13543,59,70
g13544,54,111
g13545,16,90
g13546,3,5
g13547,205,217
g13548,1,2
g13549,15,68
g13550,174,253
g13551,7,12
g13552,0,0
g13553,0,33
g13554,17,21
g13555,152,175
g13556,1565,1221
g13557,0,0
g13558,0,0
g13559,0,0
g13560,273,275
g13561,5,10
g13562,808,626
g13563,0,1
g13564,10,42
g13565,0,0
g13566,6,5
g13567,3147,2491
g13568,6,19
g13569,159,134
g13570,333,400
g13571,7,14
g13572,26,32
g13573,428,453
g13574,25,42
g13575,7,3
g13576,4,8
g13577,1625,2484
g13578,50,72
g13579,10,10
g13580,855,320
g13581,0,0
g13582,55,42
g13583,3469,2912
g13584,596,492
g13585,1036,794
g13586,237,359
g13587,1021,1191
g13588,0,0
g13589,6,14
g13590,19,65
g13591,326,454
g13592,1,0
g13593,0,2
g13594,10,16
g13595,2,1
g13596,9,12
g13597,2215,1855
g13598,15,11
g13599,0,0
g13600,7,4
g13601,112,81
g13602,19,19
g13603,0,2
g13604,6,17
g13605,405,577
g13606,885,764
g13607,20,18
g13608,396,356
g13609,0,0
g13610,0,1
g13611,2,3
g13612,2185,1791
g13613,658,556
g13614,0,0
g13615,3,4
g13616,0,0
g13617,98,134
g13618,35,36
g13619,40,48
g13620,0,0
g13621,0,1
g13622,17,36
g13623,1,6
g13624,3,16
g13625,150,132
g13626,0,0
g13627,2,3
g13628,27,11
g13629,25,43
g13630,0,3
g13631,1228,980
g13632,9,12
g13633,252,509
g13634,33,47
g13635,1,2
g13636,782,341
g13637,4,14
g13638,0,1
g13639,22,24
g13640,574,511
g13641,0,0
g13642,0,0
g13643,0,0
g13644,0,0
g13645,0,0
g13646,0,0
g13647,0,0
g13648,0,0
g13649,0,0
g13650,0,0
g13651,0,0
g13652,0,0
g13653,0,0
g13654,0,0
g13655,0,0
g13656,0,0
g13657,0,0
g13658,0,0
g13659,0,0
g13660,0,0
g13661,0,0
g13662,0,0
g13663,0,0
g13664,0,0
g13665,0,0
g13666,0,0
g13667,0,0
g13668,0,0
g13669,0,0
g13670,0,0
g13671,0,0
g13672,0,0
g13673,0,0
g13674,0,0
g13675,0,0
g13676,0,0
g13677,0,0
g13678,0,0
g13679,0,0
g13680,0,0
g13681,0,0
g13682,0,0
g13683,27,21
g13684,0,0
g13685,225,200
g13686,372,297
g13687,253,219
g13688,289,209
g13689,282,232
g13690,15,21
g13691,113,76
g13692,5,7
g13693,3,18
g13694,0,0
g13695,532,367
g13696,13,9
g13697,2,11
g13698,0,2
g13699,5,5
g13700,48,64
g13701,0,0
g13702,0,0
g13703,0,0
g13704,103,201
g13705,0,1
g13706,522,466
g13707,32,53
g13708,97,112
g13709,0,0
g13710,0,0
g13711,23,30
g13712,0,0
g13713,58,87
g13714,24,20
g13715,0,1
g13716,2,2
g13717,0,0
g13718,0,1
g13719,0,0
g13720,109,236
g13721,0,2
g13722,33,46
g13723,928,477
g13724,0,0
g13725,0,0
g13726,274,692
g13727,0,3
g13728,1,4
g13729,0,0
g13730,61,119
g13731,209,201
g13732,140,108
g13733,56,142
g13734,1151,1300
g13735,2,4
g13736,4,14
g13737,358,268
g13738,1925,1456
g13739,1,0
g13740,2,4
g13741,30,70
g13742,531,516
g13743,628,473
g13744,39,39
g13745,74,63
g13746,137,172
g13747,34,91
g13748,6,19
g13749,320,318
g13750,13,13
g13751,89,108
g13752,2140,797
g13753,165,118
g13754,0,0
g13755,1457,1033
g13756,651,542
g13757,31,25
g13758,260,260
g13759,1,2
g13760,6,13
g13761,3,1
g13762,179,51
g13763,378,560
g13764,0,3
g13765,2402,1240
g13766,614,324
g13767,181,158
g13768,17,19
g13769,35,105
g13770,83,97
g13771,1,0
g13772,459,400
g13773,45,26
g13774,1,1
g13775,285,322
g13776,2132,1144
g13777,948,1026
g13778,267,262
g13779,95,69
g13780,950,381
g13781,104,54
g13782,921,526
g13783,892,491
g13784,52,57
g13785,5424,3369
g13786,624,439
g13787,623,576
g13788,129,118
g13789,9,9
g13790,15,14
g13791,654,928
g13792,162,165
g13793,90,73
g13794,116,130
g13795,38,52
g13796,58,89
g13797,10,9
g13798,238,251
g13799,572,277
g13800,253,196
g13801,5,3
g13802,908,678
g13803,11,3
g13804,83,71
g13805,76,55
g13806,284,165
g13807,194,177
g13808,701,642
g13809,21,41
g13810,491,400
g13811,1145,1718
g13812,1,4
g13813,32,27
g13814,1111,1211
g13815,251,176
g13816,235,192
g13817,182,137
g13818,513,433
g13819,24,27
g13820,99,74
g13821,39,46
g13822,0,4
g13823,30,80
g13824,1,1
g13825,134,155
g13826,55,56
g13827,552,608
g13828,0,2
g13829,1216,989
g13830,0,0
g13831,0,0
g13832,0,1
g13833,73,50
g13834,2,2
g13835,3,1
g13836,124,43
g13837,345,132
g13838,28,15
g13839,0,1
g13840,1,0
g13841,0,0
g13842,12,25
g13843,89,62
g13844,1,0
g13845,0,0
g13846,2194,1625
g13847,112,107
g13848,3,9
g13849,0,0
g13850,0,0
g13851,32,83
g13852,41,60
g13853,35,72
g13854,0,0
g13855,0,0
g13856,1,0
g13857,0,1
g13858,13,47
g13859,102,799
g13860,129,107
g13861,9,11
g13862,344,367
g13863,563,607
g13864,788,722
g13865,110,111
g13866,0,0
g13867,2,7
g13868,28,35
g13869,9,3
g13870,2,0
g13871,34,223
g13872,146,173
g13873,1049,766
g13874,1,2
g13875,762,756
g13876,903,940
g13877,272,224
g13878,42,35
g13879,26,70
g13880,209,145
g13881,2,1
g13882,1928,1740
g13883,248,176
g13884,1789,1284
g13885,2568,1650
g13886,7,7
g13887,0,0
g13888,0,1
g13889,21,43
g13890,62,85
g13891,2,10
g13892,3793,3024
g13893,55,34
g13894,64,80
g13895,12,8
g13896,28,12
g13897,4,10
g13898,1385,833
g13899,29,47
g13900,93,87
g13901,16,34
g13902,1,1
g13903,0,0
g13904,46,69
g13905,66,38
g13906,0,0
g13907,0,0
g13908,835,990
g13909,22,56
g13910,330,336
g13911,0,2
g13912,18,14
g13913,83,73
g13914,6,9
g13915,0,1
g13916,148,163
g13917,313,327
g13918,103,92
g13919,0,0
g13920,277,329
g13921,0,0
g13922,202,229
g13923,136,58
g13924,550,268
g13925,7,3
g13926,3,3
g13927,0,0
g13928,0,1
g13929,449,510
g13930,0,0
g13931,60,64
g13932,307,335
g13933,2912,3699
g13934,0,0
g13935,6,8
g13936,500,561
g13937,1,1
g13938,359,445
g13939,0,2
g13940,0,2
g13941,434,396
g13942,3,24
g13943,11,55
g13944,1,4
g13945,3,7
g13946,70,133
g13947,480,473
g13948,1581,1598
g13949,261,234
g13950,364,291
g13951,0,0
g13952,1,1
g13953,116,148
g13954,136,135
g13955,36,38
g13956,358,224
g13957,61,61
g13958,12,15
g13959,58,38
g13960,40,80
g13961,1,2
g13962,16,12
g13963,590,621
g13964,4,17
g13965,7,63
g13966,3,7
g13967,11,45
g13968,126,185
g13969,58,68
g13970,691,839
g13971,52,99
g13972,33,17
g13973,253,180
g13974,210,182
g13975,0,0
g13976,102,84
g13977,721,688
g13978,1,8
g13979,1,0
g13980,15,2
g13981,2242,1597
g13982,50,48
g13983,15,37
g13984,9,15
g13985,65,126
g13986,17,30
g13987,173,178
g13988,169,243
g13989,4,15
g13990,0,0
g13991,0,0
g13992,0,0
g13993,2465,1928
g13994,0,0
g13995,66,36
g13996,3,3
g13997,191,152
g13998,45,37
g13999,109,130
g14000,0,0
g14001,126,121
g14002,256,213
g14003,0,0
g14004,0,2
g14005,145,219
g14006,11,42
g14007,2,3
g14008,0,0
g14009,8,18
g14010,1,0
g14011,2,2
g14012,1,1
g14013,1,1
g14014,4,1
g14015,91,65
g14016,65,43
g14017,698,698
g14018,524,668
g14019,0,0
g14020,1695,1368
g14021,6,32
g14022,58,54
g14023,223,200
g14024,42,33
g14025,1,0
g14026,19,18
g14027,331,474
g14028,1,4
g14029,4,17
g14030,867,616
g14031,102,90
g14032,0,0
g14033,2,0
g14034,25,24
g14035,6,2
g14036,16,15
g14037,0,0
g14038,5516,3675
g14039,698,985
g14040,0,0
g14041,0,0
g14042,788,894
g14043,62,67
g14044,22,11
g14045,14,11
g14046,12,16
g14047,126,178
g14048,1,0
g14049,0,1
g14050,1,1
g14051,167,163
g14052,48,51
g14053,576,462
g14054,12,12
g14055,77,95
g14056,0,0
g14057,29,19
g14058,1,0
g14059,19,20
g14060,1711,1558
g14061,148,142
g14062,308,263
g14063,0,0
g14064,0,0
g14065,2,3
g14066,780,793
g14067,10,8
g14068,0,0
g14069,57,76
g14070,578,542
g14071,0,0
g14072,0,0
g14073,0,0
g14074,1,0
g14075,4,3
g14076,0,0
g14077,0,0
g14078,19,39
g14079,534,666
g14080,22,168
g14081,230,129
g14082,279,230
g14083,14,28
g14084,0,0
g14085,0,0
g14086,0,0
g14087,0,0
g14088,0,0
g14089,0,0
g14090,0,0
g14091,0,0
g14092,1363,1040
g14093,3298,2533
g14094,0,0
g14095,0,0
g14096,0,0
g14097,3,4
g14098,365,233
g14099,1,0
g14100,15,15
g14101,0,1
g14102,0,2
g14103,2,0
g14104,9,6
g14105,0,0
g14106,2,4
g14107,213,228
g14108,3,4
g14109,12,35
g14110,0,0
g14111,0,0
g14112,116,137
g14113,234,362
g14114,1329,1222
g14115,23,28
g14116,89,71
g14117,0,0
g14118,0,0
g14119,0,0
g14120,0,0
g14121,0,0
g14122,0,0
g14123,0,0
g14124,0,0
g14125,513,368
g14126,95,180
g14127,3480,1464
g14128,66,140
g14129,0,0
g14130,0,0
g14131,1,0
g14132,146,146
g14133,0,0
g14134,0,0
g14135,8,14
g14136,2,1
g14137,1819,1176
g14138,327,210
g14139,2,2
g14140,497,350
g14141,0,5
g14142,1387,995
g14143,558,408
g14144,904,722
g14145,293,211
g14146,1,0
g14147,0,0
g14148,36,78
g14149,90,97
g14150,1,1
g14151,0,0
g14152,0,0
g14153,0,0
g14154,0,0
g14155,0,0
g14156,0,0
g14157,0,0
g14158,0,0
g14159,0,0
g14160,0,0
g14161,0,0
g14162,1,7
g14163,817,750
g14164,73,59
g14165,273,341
g14166,0,14
g14167,552,454
g14168,43,128
g14169,1,0
g14170,0,2
g14171,0,0
g14172,1,7
g14173,205,131
g14174,0,0
g14175,4,12
g14176,10,15
g14177,688,898
g14178,0,0
g14179,30,33
g14180,1556,1327
g14181,224,257
g14182,271,236
g14183,19,9
g14184,391,466
g14185,13,20
g14186,153,148
g14187,10,13
g14188,1068,830
g14189,4,9
g14190,0,0
g14191,1,0
g14192,0,0
g14193,0,0
g14194,1,0
g14195,0,0
g14196,0,0
g14197,0,0
g14198,0,0
g14199,0,0
g14200,0,0
g14201,0,1
g14202,0,0
g14203,0,0
g14204,38,60
g14205,21,55
g14206,237,265
g14207,4,5
g14208,3,5
g14209,2,3
g14210,14,33
g14211,1329,923
g14212,137,148
g14213,11,16
g14214,2752,1694
g14215,2,4
g14216,712,709
g14217,538,431
g14218,2,8
g14219,9,16
g14220,207,68
g14221,1761,1103
g14222,1117,804
g14223,1190,696
g14224,250,159
g14225,0,0
g14226,795,534
g14227,530,648
g14228,11,24
g14229,45,78
g14230,2,1
g14231,61,78
g14232,13,14
g14233,0,0
g14234,1226,959
g14235,223,191
g14236,3,11
g14237,28,28
g14238,48,68
g14239,2212,1593
g14240,388,225
g14241,107,108
g14242,0,2
g14243,170,178
g14244,2,5
g14245,442,479
g14246,8,10
g14247,0,2
g14248,421,229
g14249,348,414
g14250,459,341
g14251,331,341
g14252,2222,2274
g14253,152,107
g14254,414,390
g14255,41,41
g14256,292,240
g14257,156,244
g14258,348,284
g14259,0,0
g14260,681,638
g14261,1,2
g14262,15,111
g14263,0,2
g14264,26,34
g14265,19,21
g14266,15,20
g14267,565,397
g14268,278,201
g14269,242,196
g14270,16,26
g14271,117,247
g14272,0,0
g14273,241,234
g14274,0,0
g14275,65,114
g14276,0,0
g14277,28,21
g14278,998,1108
g14279,220,253
g14280,0,0
g14281,159,135
g14282,239,261
g14283,0,0
g14284,340,278
g14285,64,92
g14286,157,158
g14287,2,0
g14288,441,315
g14289,319,336
g14290,3,5
g14291,12,49
g14292,1,29
g14293,0,0
g14294,0,0
g14295,1,13
g14296,223,328
g14297,25,35
g14298,2674,2008
g14299,2,6
g14300,2238,1285
g14301,0,1
g14302,0,1
g14303,139,85
g14304,8,1
g14305,8,15
g14306,1355,993
g14307,170,170
g14308,2,2
g14309,0,0
g14310,56,66
g14311,2971,3787
g14312,1065,790
g14313,56,33
g14314,1689,1339
g14315,457,382
g14316,1526,809
g14317,29,68
g14318,30,38
g14319,546,735
g14320,0,0
